 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 178 | Kay, Jason David | Princeton University | 2009 | male | 1 | 0 | 2009 | 2 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 179 | Mack, Katherine J. | Princeton University | 2009 | female | 3 | 4 | 2014 | 5 | 9 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 4 | 0 |
 184 | Ammons, Stephen Mark | University of California, Santa Cruz | 2009 | male | 3 | 3 | 2014 | 10 | 35 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 3 | 2 | 1 | 2 | 2 | 3 | 2 | 4 | 3 | 8 | 10 |
 186 | Depies, Matthew | University of Washington | 2009 | male | 2 | 0 | 2009 | 2 | 0 | 2009 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 188 | Finlator, Kristian Markwart | The University of Arizona | 2009 | male | 6 | 7 | 2017 | 9 | 33 | 2017 | 0 | 0 | 1 | 1 | 1 | 3 | 0 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 3 | 1 | 1 | 4 | 2 | 6 | 6 | 6 | 1 | 5 | 3 |
 192 | Kwong, John | Princeton University | 2009 | male | 1 | 1 | 2010 | 9 | 6 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 2 | 3 | 1 | 2 | 0 | 1 | 0 | 0 | 2 |
 195 | Srinivasan, Sundar | The Johns Hopkins University | 2009 | male | 3 | 4 | 2016 | 8 | 49 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 4 | 18 | 7 | 6 | 2 | 4 | 8 | 4 |
 201 | Loverde, Marilena | Columbia University | 2009 | female | 4 | 1 | 2010 | 7 | 14 | 2016 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 1 | 1 | 3 | 2 | 1 | 4 | 0 | 3 |
 207 | Gogarten, Stephanie Morris | University of Washington | 2009 | female | 3 | 1 | 2010 | 10 | 6 | 2012 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 7 | 2 | 3 | 1 | 0 | 0 | 0 | 0 |
 209 | Kirby, Evan N. | University of California, Santa Cruz | 2009 | male | 5 | 20 | 2017 | 23 | 57 | 2017 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 4 | 4 | 3 | 1 | 3 | 1 | 0 | 0 | 0 | 7 | 8 | 8 | 8 | 8 | 12 | 10 | 8 | 3 | 3 |
 214 | Graves, Genevieve J. | University of California, Santa Cruz | 2009 | female | 6 | 2 | 2010 | 11 | 33 | 2015 | 0 | 1 | 0 | 1 | 1 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 5 | 3 | 3 | 6 | 7 | 12 | 2 | 0 |
 215 | Hincks, Adam Douglas | Princeton University | 2009 | male | 1 | 2 | 2013 | 3 | 58 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 10 | 8 | 12 | 5 | 10 | 7 |
 216 | Bowen, Jason Dione | University of California, Berkeley | 2009 | male | 1 | 0 | 2009 | 4 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 |
 217 | Downes, Thomas Patrick | The University of Chicago | 2009 | male | 3 | 4 | 2014 | 8 | 69 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 2 | 0 | 3 | 7 | 4 | 11 | 5 | 29 |
 221 | Zuhone, John A. | The University of Chicago | 2009 | male | 1 | 1 | 2016 | 1 | 20 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 3 | 3 | 2 | 3 | 5 |
 231 | Jackson, Brian Kendall | The University of Arizona | 2009 | male | 6 | 6 | 2017 | 14 | 40 | 2017 | 0 | 1 | 0 | 0 | 3 | 2 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 3 | 1 | 0 | 4 | 6 | 13 | 1 | 6 | 3 | 4 | 4 | 7 |
 245 | Pereira, Maria J. R. R. | Columbia University | 2009 | female | 1 | 0 | 2009 | 2 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
 253 | Bode, Tanja | The Pennsylvania State University | 2009 | female | 3 | 3 | 2012 | 3 | 13 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 4 | 2 | 1 | 0 | 1 |
 255 | Echols, Sean | University of California, Santa Cruz | 2009 | male | 1 | 0 | 2009 | 2 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 256 | Shen, Yue | Princeton University | 2009 | female | 18 | 23 | 2016 | 33 | 91 | 2017 | 3 | 2 | 2 | 2 | 5 | 4 | 4 | 2 | 4 | 4 | 4 | 2 | 3 | 6 | 4 | 3 | 4 | 7 | 9 | 12 | 6 | 15 | 14 | 13 | 12 | 13 |
 258 | Shin, Min-Su | Princeton University | 2009 | male | 8 | 6 | 2014 | 19 | 16 | 2017 | 1 | 0 | 0 | 1 | 3 | 3 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 2 | 1 | 2 | 3 | 7 | 4 | 3 | 1 | 5 | 2 | 4 | 0 | 0 |
 265 | Minton, David Andrew | The University of Arizona | 2009 | male | 4 | 4 | 2015 | 5 | 12 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 4 | 1 |
 267 | Comerford, Julia Marie | University of California, Berkeley | 2009 | female | 5 | 6 | 2015 | 6 | 30 | 2017 | 0 | 0 | 1 | 1 | 0 | 3 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 2 | 7 | 5 | 4 | 3 | 4 |
 274 | Jones, Jeff L. | University of California, Santa Cruz | 2009 | male | 8 | 1 | 2016 | 18 | 13 | 2017 | 1 | 4 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 5 | 3 | 3 | 1 | 2 | 0 | 1 | 1 | 0 | 2 | 0 | 5 |
 282 | Gilmore, Rudy C. | University of California, Santa Cruz | 2009 | male | 3 | 5 | 2013 | 4 | 10 | 2014 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 3 | 1 | 3 | 2 | 1 | 0 | 0 |
 284 | Metzger, Brian David | University of California, Berkeley | 2009 | male | 7 | 26 | 2017 | 12 | 75 | 2017 | 0 | 0 | 0 | 1 | 3 | 3 | 3 | 2 | 5 | 1 | 5 | 4 | 3 | 1 | 0 | 0 | 2 | 4 | 5 | 5 | 5 | 7 | 6 | 9 | 10 | 23 |
 285 | Plotkin, Richard M. | University of Washington | 2009 | male | 3 | 12 | 2017 | 8 | 29 | 2017 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 1 | 1 | 2 | 2 | 1 | 0 | 2 | 1 | 2 | 2 | 4 | 3 | 5 | 1 | 6 | 5 | 3 |
 295 | Donovan, Jennifer L. | Columbia University | 2009 | female | 4 | 0 | 2009 | 7 | 0 | 2009 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 298 | Prescott, Moire Kathleen Murphy | The University of Arizona | 2009 | female | 5 | 6 | 2015 | 12 | 45 | 2017 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 1 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 4 | 3 | 2 | 2 | 6 | 10 | 12 | 5 | 4 | 3 | 2 |
 300 | Wong, Willie Wai-Yeung | Princeton University | 2009 | male | 1 | 1 | 2014 | 1 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
 304 | Moody, Kenneth | The Pennsylvania State University | 2009 | male | 2 | 0 | 2009 | 3 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 305 | Machalek, Pavel | The Johns Hopkins University | 2009 | male | 3 | 1 | 2010 | 4 | 8 | 2012 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 4 | 2 | 0 | 0 | 0 | 0 |
 311 | Offner, Stella Susannah Reber | University of California, Berkeley | 2009 | female | 9 | 13 | 2016 | 12 | 35 | 2017 | 0 | 0 | 0 | 0 | 3 | 6 | 2 | 3 | 2 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 8 | 3 | 4 | 2 | 4 | 8 | 6 | 6 |
 313 | Jeong, Jaein | University of California, Berkeley | 2009 | male | 1 | 1 | 2015 | 1 | 3 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 0 |
 314 | Mognet, S. A. Isaac | The Pennsylvania State University | 2009 | None | 2 | 1 | 2014 | 3 | 5 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 4 | 0 | 0 |
 322 | Spolyar, Douglas | University of California, Santa Cruz | 2009 | male | 3 | 1 | 2013 | 12 | 15 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 3 | 6 | 6 | 2 | 1 | 1 | 1 | 1 | 3 |
 327 | Barbeau, Phillip S. | The University of Chicago | 2009 | male | 3 | 2 | 2017 | 5 | 6 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 2 | 0 | 1 | 1 | 0 | 1 |
 331 | Stutz, Amelia M. | The University of Arizona | 2009 | female | 6 | 4 | 2016 | 24 | 93 | 2017 | 0 | 0 | 0 | 1 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 4 | 1 | 5 | 6 | 7 | 13 | 9 | 19 | 10 | 15 | 11 | 12 |
 337 | Tolea, Alin Catalin | The Johns Hopkins University | 2009 | male | 1 | 0 | 2009 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
 341 | Baleisis, Audra | The University of Arizona | 2009 | female | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 342 | Conklin, Nicholas B. | The Pennsylvania State University | 2009 | male | 1 | 0 | 2009 | 27 | 4 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 9 | 0 | 0 | 14 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
 346 | Pierce, Christina M. | University of California, Santa Cruz | 2009 | female | 2 | 3 | 2011 | 4 | 3 | 2011 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
 349 | Eriksen, Kristoffer Albert | The University of Arizona | 2009 | male | 2 | 1 | 2011 | 7 | 9 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 2 | 0 | 2 | 0 | 1 | 2 | 4 | 0 |
 351 | Hui, Yawei | The Johns Hopkins University | 2009 | male | 4 | 2 | 2010 | 4 | 3 | 2010 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 |
 355 | Schwan, Daniel | University of California, Berkeley | 2009 | male | 1 | 1 | 2011 | 6 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 4 | 1 | 2 | 1 | 0 | 0 | 0 | 1 |
 357 | Shih, Albert Young-Ming | University of California, Berkeley | 2009 | male | 1 | 0 | 2009 | 1 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 |
 358 | Sandstrom, Karin Marie | University of California, Berkeley | 2009 | female | 3 | 4 | 2013 | 7 | 62 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 3 | 6 | 10 | 9 | 12 | 3 | 9 | 6 |
 359 | Hinkley, Sasha | Columbia University | 2009 | female | 3 | 8 | 2015 | 10 | 55 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 3 | 0 | 2 | 0 | 2 | 0 | 1 | 2 | 1 | 2 | 1 | 3 | 3 | 5 | 6 | 6 | 5 | 15 | 11 |
 364 | Choi, David Sanghun | The University of Arizona | 2009 | male | 3 | 4 | 2013 | 3 | 21 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 9 | 6 | 1 | 0 |
 367 | Aluie, Hussein | The Johns Hopkins University | 2009 | male | 1 | 5 | 2017 | 2 | 6 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 |
 373 | Wang, Linghua | University of California, Berkeley | 2009 | female | 14 | 31 | 2017 | 56 | 195 | 2017 | 1 | 1 | 2 | 0 | 4 | 6 | 1 | 2 | 5 | 4 | 4 | 7 | 6 | 8 | 8 | 9 | 6 | 9 | 16 | 28 | 17 | 23 | 32 | 23 | 33 | 26 |
 376 | Hazelton, Bryna J. C. | University of California, Santa Cruz | 2009 | female | 1 | 0 | 2009 | 1 | 4 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 |
 381 | Chornock, Ryan Thomas | University of California, Berkeley | 2009 | male | 3 | 6 | 2014 | 59 | 105 | 2017 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 1 | 0 | 2 | 1 | 0 | 0 | 12 | 11 | 8 | 4 | 7 | 17 | 9 | 17 | 13 | 20 | 17 | 8 | 15 |
 385 | Wiktorowicz, Sloane John | California Institute of Technology | 2009 | female | 4 | 4 | 2015 | 8 | 33 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 3 | 1 | 2 | 2 | 3 | 1 | 2 | 0 | 4 | 12 | 7 |
 386 | Healy, James | The Pennsylvania State University | 2009 | male | 3 | 8 | 2017 | 4 | 42 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 4 | 6 | 5 | 3 | 13 |
 389 | Plagge, Thomas Jeffrey | University of California, Berkeley | 2009 | male | 1 | 2 | 2013 | 8 | 47 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 5 | 7 | 9 | 14 | 12 | 4 | 1 | 0 |
 394 | Brobeck, Elina | California Institute of Technology | 2009 | female | 1 | 0 | 2009 | 4 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 395 | Parsons, Aaron Robert | University of California, Berkeley | 2009 | male | 3 | 6 | 2016 | 12 | 37 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 1 | 1 | 5 | 2 | 0 | 1 | 3 | 2 | 2 | 3 | 5 | 5 | 7 | 11 |
 397 | Spitzer, Christopher | University of Washington | 2009 | male | 1 | 0 | 2009 | 2 | 2 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
 398 | D'Agostino, Michelangelo Vincent | University of California, Berkeley | 2009 | male | 1 | 0 | 2009 | 23 | 38 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 4 | 6 | 8 | 11 | 13 | 11 | 2 | 1 | 0 | 0 |
 399 | Gratiy, Sergey | The Pennsylvania State University | 2009 | male | 1 | 2 | 2010 | 1 | 3 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 |
 402 | Taveras, Victor Manuel | The Pennsylvania State University | 2009 | male | 3 | 0 | 2009 | 5 | 0 | 2009 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
