 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 150 | Creighton, Teviet David | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2000 | None | 1 | 5 | 2009 | 4 | 120 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 7 | 9 | 4 | 8 | 11 | 16 | 9 | 7 | 17 | 7 | 5 | 6 | 5 |
 152 | Baker, Andrew Jordan | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2000 | male | 2 | 4 | 2004 | 9 | 109 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 2 | 1 | 1 | 3 | 7 | 6 | 5 | 7 | 7 | 5 | 8 | 11 | 10 | 16 | 8 | 2 | 9 |
 153 | Blanton, Elizabeth Lyon | COLUMBIA UNIVERSITY | 2000 | female | 4 | 11 | 2016 | 5 | 34 | 2016 | 1 | 1 | 0 | 0 | 0 | 2 | 3 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 3 | 3 | 1 | 4 | 6 | 2 | 0 | 0 | 2 | 3 | 1 | 4 | 0 | 3 | 1 | 1 | 3 |
 154 | Cha, Alexandra Nicole Stuehler | THE JOHNS HOPKINS UNIVERSITY | 2000 | female | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 157 | Aurnou, Jonathan Michael | THE JOHNS HOPKINS UNIVERSITY | 2000 | male | 4 | 11 | 2017 | 6 | 46 | 2017 | 0 | 2 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 2 | 1 | 0 | 2 | 5 | 3 | 1 | 5 | 3 | 2 | 2 | 2 | 7 | 2 | 3 | 4 | 3 |
 159 | Chandar, Rupali | THE JOHNS HOPKINS UNIVERSITY | 2000 | female | 5 | 19 | 2016 | 5 | 78 | 2017 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 1 | 1 | 2 | 1 | 2 | 1 | 0 | 1 | 3 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 1 | 1 | 2 | 4 | 5 | 2 | 3 | 3 | 10 | 10 | 6 | 5 | 10 | 9 | 3 |
 166 | Janches, Diego | The Pennsylvania State University | 2000 | male | 3 | 16 | 2015 | 3 | 54 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 2 | 3 | 5 | 2 | 1 | 4 | 7 | 2 | 2 | 3 | 2 | 4 | 5 | 4 |
 167 | Felice, Gian Marco | Princeton University | 2000 | male | 1 | 1 | 2001 | 1 | 1 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 171 | Nelson, Amy Elizabeth | University of California, Santa Cruz | 2000 | female | 2 | 3 | 2002 | 3 | 16 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 2 | 3 | 1 |
 172 | Gu, Ming Feng | Columbia University | 2000 | male | 2 | 23 | 2017 | 3 | 53 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 4 | 2 | 2 | 3 | 3 | 0 | 1 | 0 | 3 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 3 | 6 | 4 | 5 | 8 | 4 | 1 | 4 | 0 | 4 | 1 | 1 | 0 | 4 | 3 |
 173 | Jangren, Anna Maria | The Pennsylvania State University | 2000 | female | 1 | 2 | 2005 | 4 | 8 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 3 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 180 | Khanna, Gaurav | The Pennsylvania State University | 2000 | male | 3 | 6 | 2017 | 5 | 50 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 2 | 4 | 2 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 6 | 2 | 3 | 3 | 2 | 4 |
 182 | Shah, Nitesh Navin | The University of Arizona | 2000 | male | 1 | 0 | 2000 | 1 | 2 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |
 183 | Gonzalez, Anthony Hernan | University of California, Santa Cruz | 2000 | male | 4 | 15 | 2015 | 10 | 189 | 2017 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 3 | 1 | 2 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 2 | 3 | 1 | 1 | 3 | 2 | 6 | 2 | 5 | 6 | 8 | 4 | 8 | 12 | 11 | 13 | 26 | 24 | 18 | 18 | 18 |
 193 | Cartin, Daniel Burdett, III | The Pennsylvania State University | 2000 | male | 1 | 11 | 2015 | 1 | 13 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 2 | 0 |
 195 | Munoz Franco, Lucia | The University of Chicago | 2000 | female | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 197 | Wyder, Ted Kevin | University of Washington | 2000 | male | 5 | 5 | 2009 | 7 | 125 | 2015 | 0 | 0 | 1 | 1 | 0 | 3 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 35 | 5 | 32 | 3 | 10 | 9 | 10 | 7 | 7 | 2 | 1 | 0 |
 199 | Allen, Anthony Douglas | University of California, Berkeley | 2000 | male | 3 | 5 | 2013 | 4 | 12 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 2 | 2 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 |
 200 | Tung, Yeh-Kai | University of California, Berkeley | 2000 | male | 1 | 3 | 2002 | 4 | 6 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 201 | Reitzel, David Brian | University of California, Santa Cruz | 2000 | male | 2 | 2 | 2004 | 4 | 33 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 3 | 2 | 5 | 9 | 5 | 2 | 0 | 0 | 3 | 1 | 2 | 0 | 0 |
 203 | Wood, David Allen, Jr. | The University of Arizona | 2000 | male | 1 | 0 | 2000 | 1 | 4 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 |
 214 | Miller, Amber Dawn | Princeton University | 2000 | female | 4 | 3 | 2015 | 17 | 60 | 2017 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 8 | 2 | 3 | 1 | 3 | 2 | 0 | 1 | 0 | 1 | 2 | 4 | 3 | 4 | 5 | 1 | 2 | 10 | 12 |
 221 | Saucedo Morales, Julio Cesar | The University of Arizona | 2000 | male | 1 | 0 | 2000 | 1 | 9 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 |
 225 | Goldberg, David M. | Princeton University | 2000 | male | 9 | 8 | 2010 | 14 | 24 | 2016 | 0 | 0 | 3 | 3 | 1 | 2 | 2 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 4 | 3 | 2 | 4 | 1 | 0 | 2 | 3 | 1 | 3 | 4 | 0 | 2 | 2 | 0 | 0 | 1 | 0 | 1 |
 229 | Zakharian, Aramais Robert | The University of Arizona | 2000 | male | 2 | 1 | 2001 | 6 | 3 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
