 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 9 | Abramov, Oleg | The University of Arizona, Arizona, USA | 2006 | male | 3 | 11 | 2016 | 3 | 18 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 3 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 3 | 0 | 1 | 3 | 2 | 2 | 1 | 1 |
 10 | Halfen, Dewayne Terrence | The University of Arizona, Arizona, USA | 2006 | male | 6 | 14 | 2016 | 9 | 23 | 2016 | 1 | 1 | 0 | 2 | 0 | 2 | 1 | 3 | 1 | 1 | 2 | 0 | 1 | 2 | 2 | 1 | 1 | 1 | 0 | 2 | 0 | 5 | 1 | 5 | 1 | 2 | 3 | 1 | 1 | 2 | 3 | 4 |
 15 | Sand, David J. | California Institute of Technology, California, USA | 2006 | male | 4 | 12 | 2016 | 8 | 87 | 2017 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 1 | 1 | 2 | 2 | 2 | 2 | 5 | 3 | 5 | 5 | 10 | 11 | 10 | 14 | 14 |
 24 | Linton, Eric T. | The University of Chicago, Illinois, USA | 2006 | male | 2 | 0 | 2006 | 30 | 0 | 2006 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 18 | 5 | 3 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 25 | Rogers, Tamara M. | University of California, Santa Cruz, California, USA | 2006 | female | 5 | 14 | 2017 | 6 | 18 | 2017 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 1 | 0 | 1 | 3 | 1 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 3 | 0 | 1 | 1 | 1 | 4 | 1 | 2 | 2 | 2 | 0 |
 27 | McMahon, Jeff | Princeton University | 2006 | male | 1 | 1 | 2012 | 5 | 83 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 2 | 1 | 7 | 9 | 14 | 14 | 11 | 15 | 9 |
 29 | Park, Yousin | The Johns Hopkins University | 2006 | male | 8 | 6 | 2016 | 49 | 57 | 2017 | 2 | 1 | 2 | 1 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 11 | 9 | 9 | 10 | 6 | 10 | 12 | 4 | 6 | 4 | 5 | 4 | 4 | 5 | 1 |
 37 | Cooper, Curtis Steven | The University of Arizona, Arizona, USA | 2006 | male | 5 | 0 | 2006 | 9 | 5 | 2015 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 4 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
 38 | Sigurdson, Kris | California Institute of Technology | 2006 | male | 9 | 0 | 2006 | 12 | 35 | 2017 | 0 | 1 | 1 | 2 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 3 | 5 | 3 | 0 | 4 | 3 | 5 | 2 | 3 | 6 | 4 | 3 |
 40 | Kovács, A. | Caltech | 2006 | None | 2 | 9 | 2017 | 5 | 58 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 5 | 3 | 5 | 5 | 6 | 5 | 2 | 7 | 4 | 11 | 6 |
 41 | Pope, Adrian Charles | The Johns Hopkins University | 2006 | male | 2 | 1 | 2008 | 27 | 53 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 6 | 5 | 7 | 9 | 8 | 4 | 6 | 7 | 0 | 4 | 2 | 5 | 6 |
 42 | DeDeo, Simon J. | Princeton University, New Jersey, USA | 2006 | male | 7 | 1 | 2008 | 8 | 5 | 2011 | 1 | 1 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
 43 | Glikman, Eilat | Columbia University | 2006 | female | 3 | 8 | 2015 | 5 | 36 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 4 | 3 | 2 | 3 | 3 | 5 | 5 | 1 | 4 | 5 |
 44 | Huffenberger, Kevin Michael | Princeton University, New Jersey, USA | 2006 | male | 5 | 5 | 2015 | 6 | 168 | 2017 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 1 | 2 | 10 | 32 | 7 | 13 | 39 | 16 | 46 |
 46 | Jee, Myungkook James | The Johns Hopkins University | 2006 | None | 4 | 14 | 2016 | 18 | 47 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 2 | 1 | 2 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 9 | 9 | 3 | 1 | 6 | 3 | 4 | 6 | 6 | 2 | 7 | 5 |
 47 | Hebb, Leslie | The Johns Hopkins University | 2006 | female | 3 | 5 | 2011 | 7 | 93 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 4 | 9 | 8 | 16 | 14 | 15 | 11 | 8 | 6 | 4 | 1 |
 48 | Kelly, Eleanor Jane | The University of Arizona, Arizona, USA | 2006 | female | 1 | 0 | 2006 | 1 | 0 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 49 | Zekser, Kerry Capelle | The Johns Hopkins University | 2006 | female | 2 | 0 | 2006 | 6 | 1 | 2007 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 51 | Feaga, Lori Michelle | The Johns Hopkins University | 2006 | female | 3 | 5 | 2015 | 6 | 31 | 2017 | 0 | 1 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 3 | 8 | 1 | 2 | 3 | 4 | 1 | 3 | 3 | 3 | 2 |
 52 | Erb, Dawn K. | California Institute of Technology | 2006 | female | 6 | 8 | 2016 | 23 | 47 | 2016 | 0 | 0 | 1 | 1 | 0 | 4 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 5 | 6 | 9 | 8 | 5 | 5 | 5 | 5 | 11 | 0 | 2 | 2 | 4 |
 53 | Vandersloot, Kevin | The Pennsylvania State University | 2006 | male | 2 | 1 | 2007 | 7 | 9 | 2009 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 2 | 5 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 56 | Rigby, Jane Rebecca | The University of Arizona, Arizona, USA | 2006 | female | 7 | 6 | 2015 | 31 | 65 | 2017 | 0 | 1 | 0 | 2 | 1 | 3 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 3 | 12 | 6 | 8 | 3 | 4 | 11 | 3 | 6 | 8 | 5 | 10 | 7 | 5 |
 57 | Leao, J. R. S. | Space Telescope Science Institute | 2006 | None | 1 | 0 | 2006 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
 61 | Rigby, Jane R. | The University of Arizona | 2006 | female | 7 | 6 | 2015 | 31 | 65 | 2017 | 0 | 1 | 0 | 2 | 1 | 3 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 3 | 12 | 6 | 8 | 3 | 4 | 11 | 3 | 6 | 8 | 5 | 10 | 7 | 5 |
 63 | Leroy, Adam Kirby | University of California, Berkeley | 2006 | male | 3 | 16 | 2017 | 10 | 127 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 2 | 0 | 2 | 1 | 2 | 0 | 4 | 1 | 0 | 1 | 2 | 0 | 3 | 4 | 4 | 7 | 3 | 12 | 14 | 12 | 19 | 10 | 24 | 13 |
 66 | Mesinger, Andrei | Columbia University | 2006 | male | 7 | 15 | 2016 | 8 | 69 | 2017 | 0 | 0 | 0 | 2 | 1 | 4 | 2 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 2 | 2 | 4 | 2 | 4 | 4 | 1 | 5 | 1 | 9 | 10 | 13 | 13 |
 67 | Labiano, A. | Space Telescope Science Institute Kapteyn Astronomical Institute | 2006 | None | 5 | 6 | 2014 | 6 | 19 | 2016 | 0 | 0 | 1 | 0 | 1 | 3 | 1 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 4 | 1 | 2 | 4 | 2 | 0 | 0 | 2 | 3 | 3 | 2 |
 71 | Stalcup, Thomas Eugene, Jr. | The University of Arizona | 2006 | male | 1 | 0 | 2006 | 3 | 2 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
