n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
62 | McLaughlin, Maura Ann | CORNELL UNIVERSITY | 2001 | female | 5 | 11 | 2013 | 8 | 194 | 2017 | 1 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 4 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 3 | 3 | 2 | 5 | 16 | 12 | 10 | 6 | 8 | 13 | 12 | 13 | 14 | 23 | 14 | 16 | 21 |
63 | Shambrook, Anouk Aimee | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2001 | female | 1 | 0 | 2001 | 4 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
64 | Smith, John-David Thomas | CORNELL UNIVERSITY | 2001 | male | 4 | 8 | 2017 | 11 | 83 | 2017 | 0 | 1 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 5 | 0 | 1 | 1 | 4 | 1 | 5 | 6 | 4 | 11 | 9 | 6 | 6 | 9 | 4 | 6 | 7 | 2 | 1 | 3 |
65 | Brisken, Walter Frank | PRINCETON UNIVERSITY | 2001 | male | 3 | 5 | 2010 | 4 | 47 | 2016 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 2 | 3 | 1 | 5 | 4 | 4 | 3 | 4 | 2 | 7 | 4 | 2 | 2 | 1 | 3 |
66 | Domingue, Donovan Louis | THE UNIVERSITY OF ALABAMA | 2001 | male | 4 | 8 | 2016 | 10 | 16 | 2016 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 2 |  0 | 2 | 0 | 1 | 4 | 3 | 2 | 1 | 0 | 3 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 3 |
67 | McDonald, James Edward Robert | THE UNIVERSITY OF CONNECTICUT | 2001 | male | 3 | 1 | 2011 | 5 | 7 | 2011 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 5 | 0 | 1 | 0 | 1 | 0 | 0 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
68 | Burgasser, Adam J. | Department of Physics, California Institute of Technology | 2001 | male | 5 | 53 | 2016 | 14 | 167 | 2017 | 0 | 0 | 0 | 1 | 3 | 1 | 4 | 5 | 4 | 3 | 5 | 6 | 5 | 3 | 3 | 3 | 2 | 4 | 1 | 3 | 2 |  0 | 0 | 0 | 2 | 7 | 5 | 6 | 10 | 8 | 6 | 11 | 12 | 11 | 9 | 9 | 15 | 10 | 14 | 9 | 16 | 11 |
69 | Streed, Timothy Jon | UNIVERSITY OF MINNESOTA | 2001 | male | 2 | 0 | 2001 | 2 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
70 | Gong, Yungui | THE UNIVERSITY OF TEXAS AT AUSTIN | 2001 | None | 3 | 39 | 2016 | 3 | 92 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 4 | 7 | 4 | 7 | 4 | 1 | 3 | 1 | 0 | 1 | 2 | 2 | 1 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 5 | 9 | 6 | 9 | 7 | 7 | 7 | 6 | 4 | 6 | 7 | 8 | 7 |
71 | Andersen, David Roger | The Pennsylvania State University | 2001 | male | 3 | 9 | 2013 | 3 | 36 | 2017 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 0 | 3 | 2 | 2 | 2 | 4 | 1 | 1 | 3 | 3 | 1 | 3 | 2 | 3 | 4 |
72 | Cottam, Jean | Columbia University | 2001 | male | 3 | 2 | 2008 | 11 | 14 | 2012 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 9 | 1 | 1 | 0 | 0 | 2 | 6 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
73 | Young, Scott Matthew | UNIVERSITY OF CALIFORNIA, IRVINE | 2001 | male | 11 | 7 | 2009 | 33 | 41 | 2017 | 4 | 2 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 2 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  7 | 3 | 4 | 8 | 5 | 6 | 5 | 8 | 3 | 1 | 2 | 5 | 3 | 3 | 1 | 1 | 0 | 2 | 1 | 2 | 2 |
74 | Kim, Seungjung | PRINCETON UNIVERSITY | 2001 | None | 26 | 58 | 2017 | 66 | 311 | 2017 | 3 | 6 | 6 | 6 | 1 | 4 | 5 | 3 | 6 | 5 | 4 | 6 | 3 | 5 | 2 | 2 | 8 | 3 | 2 | 1 | 1 |  5 | 12 | 12 | 16 | 6 | 15 | 13 | 14 | 24 | 13 | 23 | 22 | 24 | 19 | 21 | 20 | 20 | 14 | 19 | 31 | 22 |
75 | Mason, Elena | UNIVERSITY OF WYOMING | 2001 | female | 3 | 14 | 2016 | 5 | 66 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 2 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 3 | 2 | 2 | 2 | 0 | 5 | 5 | 2 | 9 | 6 | 8 | 8 | 3 | 4 | 6 | 2 | 4 |
76 | Saleh, Lamya Ahmad | MICHIGAN STATE UNIVERSITY | 2001 | female | 1 | 2 | 2009 | 1 | 2 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
77 | Dafermos, Michael Constantine | PRINCETON UNIVERSITY | 2001 | male | 1 | 0 | 2001 | 1 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
78 | Thomas-Osip, Joanna Elizabeth | UNIVERSITY OF FLORIDA | 2001 | female | 1 | 4 | 2012 | 2 | 21 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 2 | 1 | 2 | 2 | 4 | 0 | 1 | 1 | 0 | 4 | 0 | 1 |
79 | Fragile, Patrick Christopher | UNIVERSITY OF NOTRE DAME | 2001 | male | 1 | 0 | 2001 | 6 | 10 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 3 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 1 |
80 | Deng, Ming | Yale University | 2001 | male | 4 | 0 | 2001 | 9 | 2 | 2015 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |
81 | Roscherr, Bruce | Yale University | 2001 | male | 2 | 0 | 2001 | 3 | 0 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
82 | Noguchi, Koichi | THE UNIVERSITY OF TEXAS AT AUSTIN | 2001 | male | 3 | 7 | 2014 | 4 | 16 | 2014 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 3 | 1 | 1 | 2 | 1 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |
83 | Ferko, Thomas Eugene | Purdue University | 2001 | male | 2 | 2 | 2002 | 3 | 2 | 2002 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
84 | Boudouridis, Athanasios | BOSTON UNIVERSITY | 2001 | male | 2 | 11 | 2011 | 2 | 18 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 1 | 0 | 3 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 2 | 0 | 3 | 2 | 2 | 0 | 2 | 1 | 2 | 0 | 0 | 0 |
85 | Lewis, Mark Christopher | UNIVERSITY OF COLORADO AT BOULDER | 2001 | male | 3 | 3 | 2011 | 3 | 9 | 2013 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
86 | Stephan, Andrew Ward | BOSTON UNIVERSITY | 2001 | male | 6 | 7 | 2016 | 6 | 17 | 2017 | 0 | 1 | 1 | 0 | 1 | 3 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 1 | 1 | 0 | 1 | 3 | 4 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 1 | 0 | 2 | 1 |
87 | Young, Christopher Alex | UNIVERSITY OF NEW HAMPSHIRE | 2001 | male | 3 | 1 | 2008 | 6 | 26 | 2016 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 3 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 3 | 5 | 2 | 3 | 1 | 3 | 2 | 2 | 1 | 2 |
88 | Falcone, Abraham David | UNIVERSITY OF NEW HAMPSHIRE | 2001 | male | 1 | 8 | 2010 | 6 | 181 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 1 | 22 | 7 | 4 | 15 | 13 | 13 | 12 | 9 | 17 | 13 | 14 | 12 | 10 | 14 |
89 | Keck, John William | COLUMBIA UNIVERSITY | 2001 | male | 2 | 0 | 2001 | 2 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
90 | Larson, Michelle Beauvais | MONTANA STATE UNIVERSITY | 2001 | female | 2 | 3 | 2006 | 2 | 12 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
91 | Zhang, Bing | THE JOHNS HOPKINS UNIVERSITY | 2001 | male | 16 | 101 | 2017 | 30 | 450 | 2017 | 1 | 3 | 1 | 1 | 5 | 5 | 5 | 4 | 4 | 4 | 4 | 10 | 4 | 6 | 2 | 8 | 10 | 12 | 9 | 7 | 10 |  3 | 4 | 2 | 4 | 7 | 10 | 8 | 9 | 14 | 31 | 57 | 37 | 18 | 31 | 21 | 32 | 33 | 26 | 38 | 35 | 48 |
92 | Jim, Kevin T. C. | UNIVERSITY OF HAWAII | 2001 | male | 2 | 0 | 2001 | 3 | 1 | 2002 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
93 | Zheng, Yihua | UNIVERSITY OF NEW HAMPSHIRE | 2001 | female | 2 | 32 | 2017 | 8 | 110 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 3 | 4 | 3 | 4 | 2 | 1 | 2 | 2 | 3 | 1 | 1 | 2 |  1 | 3 | 1 | 1 | 0 | 2 | 0 | 4 | 6 | 13 | 11 | 7 | 17 | 10 | 6 | 5 | 6 | 6 | 5 | 6 | 3 |
94 | Patel, Sandeep Kumar | UNIVERSITY OF ALABAMA IN HUNTSVILLE | 2001 | male | 3 | 4 | 2007 | 10 | 32 | 2014 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 5 | 5 | 0 | 5 | 6 | 6 | 5 | 5 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 |
95 | Sarma, Anuj Pratim | UNIVERSITY OF KENTUCKY | 2001 | male | 4 | 7 | 2013 | 4 | 18 | 2017 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 2 | 3 | 0 | 0 | 2 | 0 | 2 | 2 | 1 | 0 | 3 | 1 | 1 | 0 | 2 | 0 |
96 | Hsu, Tung-Shin | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2001 | male | 1 | 7 | 2012 | 2 | 28 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 3 | 1 | 1 | 3 | 7 | 2 | 1 | 4 | 0 |
97 | McCarthy, Chris | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2001 | male | 2 | 2 | 2004 | 7 | 32 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 2 | 2 | 0 | 2 | 6 | 4 | 4 | 4 | 7 | 3 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
98 | Blanco-Pillado, Jose Juan | TUFTS UNIVERSITY | 2001 | male | 7 | 28 | 2016 | 10 | 30 | 2017 | 0 | 1 | 0 | 2 | 1 | 3 | 2 | 1 | 2 | 1 | 3 | 1 | 0 | 2 | 6 | 1 | 2 | 1 | 2 | 3 | 1 |  0 | 1 | 0 | 3 | 2 | 4 | 2 | 1 | 2 | 1 | 3 | 1 | 0 | 2 | 6 | 1 | 2 | 1 | 2 | 4 | 1 |
99 | Hoffman, James Patrick | GEORGIA INSTITUTE OF TECHNOLOGY | 2001 | male | 3 | 0 | 2001 | 4 | 13 | 2016 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 4 | 2 | 1 |
100 | Basara, Jeffrey Brent | THE UNIVERSITY OF OKLAHOMA | 2001 | male | 1 | 1 | 2002 | 1 | 2 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
101 | Loh, Ji Meng | THE UNIVERSITY OF CHICAGO | 2001 | male | 2 | 2 | 2008 | 2 | 2 | 2008 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
102 | Hansen, Kenneth Calvin | UNIVERSITY OF MICHIGAN | 2001 | male | 3 | 3 | 2016 | 12 | 76 | 2017 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 1 | 1 | 1 | 5 | 4 | 2 | 0 | 8 | 5 | 2 | 5 | 5 | 7 | 3 | 5 | 3 | 4 | 2 | 7 | 15 |
103 | Miller, Neal Andrew | NEW MEXICO STATE UNIVERSITY | 2001 | male | 6 | 15 | 2013 | 7 | 66 | 2016 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 1 | 2 | 1 | 0 | 1 | 3 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 5 | 4 | 5 | 4 | 5 | 1 | 0 | 7 | 6 | 7 | 3 | 8 | 5 | 5 | 2 | 4 |
104 | Pogosian, Levon Edward | CASE WESTERN RESERVE UNIVERSITY | 2001 | male | 5 | 22 | 2016 | 6 | 61 | 2017 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 3 | 3 | 2 | 2 | 1 | 2 | 1 | 2 | 2 | 0 | 1 | 1 | 0 | 1 |  0 | 0 | 0 | 1 | 2 | 3 | 3 | 4 | 6 | 4 | 3 | 2 | 2 | 4 | 5 | 7 | 5 | 4 | 4 | 4 | 3 |
105 | Schekochihin, Alexander A. | PRINCETON UNIVERSITY | 2001 | male | 2 | 23 | 2016 | 3 | 91 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 0 | 6 | 3 | 2 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 2 | 4 | 0 | 6 | 4 | 4 | 5 | 7 | 4 | 5 | 8 | 5 | 6 | 7 | 9 | 12 |
106 | Fisher, Genene Michelle | UNIVERSITY OF MICHIGAN | 2001 | female | 2 | 3 | 2004 | 3 | 4 | 2004 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
107 | Wong, Michael H. | UNIVERSITY OF MICHIGAN | 2001 | male | 2 | 7 | 2015 | 5 | 64 | 2017 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 |  1 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 2 | 1 | 2 | 1 | 4 | 4 | 5 | 8 | 1 | 10 | 9 | 7 | 5 |
108 | Bauer, Franz Erik | UNIVERSITY OF VIRGINIA | 2001 | male | 6 | 13 | 2017 | 26 | 235 | 2017 | 1 | 1 | 0 | 0 | 2 | 2 | 2 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 |  1 | 2 | 4 | 5 | 6 | 8 | 9 | 12 | 12 | 11 | 9 | 6 | 9 | 7 | 9 | 5 | 11 | 15 | 30 | 32 | 41 |
109 | Safizadeh, Neda | UNIVERSITY OF CALIFORNIA, SAN DIEGO | 2001 | female | 2 | 0 | 2001 | 3 | 5 | 2005 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
110 | Detwiler, Rebecca Sue | UNIVERSITY OF NOTRE DAME | 2001 | female | 1 | 0 | 2001 | 1 | 4 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
111 | Lloyd-Ronning, Nicole Marie | STANFORD UNIVERSITY | 2001 | female | 1 | 7 | 2017 | 1 | 14 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 |
112 | Shabad, Gayane | STANFORD UNIVERSITY | 2001 | female | 1 | 0 | 2001 | 4 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
113 | Vaillancourt, John E. | THE UNIVERSITY OF CHICAGO | 2001 | male | 1 | 6 | 2015 | 7 | 39 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 3 | 2 | 2 | 1 | 2 | 2 | 1 | 1 | 4 | 5 | 2 | 4 | 4 | 5 | 2 | 2 | 2 |
114 | Biello, Joseph Anthony | THE UNIVERSITY OF CHICAGO | 2001 | male | 1 | 4 | 2006 | 2 | 4 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
115 | Xiao, Fuliang | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2001 | male | 1 | 26 | 2017 | 4 | 53 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 5 | 3 | 1 | 3 | 2 | 2 | 3 | 1 | 1 | 2 | 1 |  0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 5 | 3 | 1 | 3 | 4 | 5 | 6 | 4 | 8 | 8 | 4 |
116 | Delamarter, Guy Ralph | THE UNIVERSITY OF ROCHESTER | 2001 | male | 2 | 0 | 2001 | 2 | 0 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
117 | McCall, Benjamin John | Department of Chemistry and Department of Astronomy and Astrophysics, University of Chicago, 5735 S. Ellis Ave., Chicago, IL 60637 | 2001 | male | 6 | 7 | 2010 | 7 | 42 | 2016 | 0 | 0 | 2 | 1 | 1 | 2 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 2 | 1 | 2 | 4 | 4 | 1 | 3 | 4 | 2 | 2 | 4 | 4 | 4 | 5 | 3 | 1 | 0 | 1 |
118 | Villaver, E. | Space Telescope Science Institute | 2001 | None | 1 | 12 | 2014 | 9 | 66 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 1 | 1 | 3 | 3 | 1 | 3 | 5 | 1 | 1 | 2 | 3 | 3 | 3 | 5 | 1 | 9 | 2 | 8 | 8 | 11 |
