n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
162 | Brown, Matthew G. | University of Michigan | 2007 | male | 2 | 2 | 2015 | 9 | 18 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 3 | 4 | 3 | 0 | 0 | 1 | 3 | 3 | 1 | 7 | 0 |
163 | Cieza-Gonzalez, Lucas Alejo | The University of Texas at Austin | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
164 | Dunne, Bryan C. | University of Illinois at Urbana-Champaign | 2007 | male | 2 | 0 | 2007 | 5 | 2 | 2012 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
165 | Fabrycky, Daniel Clark | Princeton University | 2007 | male | 4 | 5 | 2014 | 7 | 103 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 5 | 1 | 3 | 8 | 23 | 21 | 12 | 13 | 7 | 9 |
166 | Baughman, Brian | University of California, Santa Cruz | 2007 | male | 1 | 2 | 2011 | 2 | 102 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 5 | 31 | 31 | 11 | 14 | 3 | 2 | 4 | 1 |
167 | Connelley, Michael S. | University of Hawai'i at Manoa | 2007 | male | 2 | 6 | 2014 | 7 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  1 | 0 | 2 | 0 | 0 | 4 | 3 | 2 | 2 | 0 | 0 | 1 | 1 | 1 | 1 |
168 | Hanasoge, Shravan M. | Stanford University | 2007 | male | 4 | 22 | 2016 | 5 | 41 | 2016 | 0 | 0 | 0 | 0 | 1 | 3 | 4 | 3 | 2 | 2 | 2 | 3 | 4 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 3 | 4 | 6 | 6 | 4 | 4 | 6 | 5 | 3 | 3 |
169 | Jensen, Elizabeth Annah | University of California, Los Angeles | 2007 | female | 3 | 7 | 2016 | 3 | 17 | 2016 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 2 | 0 | 1 | 3 | 1 | 2 | 1 | 2 | 3 | 2 | 2 | 1 |
170 | Loeffler, Mark J. | University of Virginia | 2007 | male | 6 | 16 | 2016 | 9 | 30 | 2017 | 0 | 0 | 0 | 2 | 3 | 1 | 2 | 2 | 1 | 1 | 2 | 2 | 0 | 2 | 4 |  0 | 0 | 0 | 2 | 4 | 3 | 4 | 2 | 3 | 4 | 3 | 3 | 1 | 3 | 4 |
171 | Jeong, Eunhwa | University of California, Berkeley | 2007 | female | 3 | 1 | 2010 | 4 | 1 | 2010 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
172 | Martin, Paul | Florida Institute of Technology | 2007 | male | 3 | 11 | 2017 | 31 | 258 | 2017 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 3 | 3 | 0 | 1 | 1 | 1 | 1 | 0 |  2 | 6 | 5 | 4 | 6 | 8 | 4 | 8 | 57 | 20 | 16 | 17 | 43 | 21 | 63 |
173 | Quadri, Ryan F. | Yale University | 2007 | male | 4 | 3 | 2012 | 13 | 60 | 2017 | 0 | 1 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 6 | 6 | 5 | 5 | 6 | 6 | 5 | 5 | 8 | 6 | 9 |
174 | Upadhye, Amol Ravindra | Princeton University | 2007 | male | 4 | 8 | 2016 | 6 | 15 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 0 | 3 | 1 | 1 | 0 | 1 |  0 | 0 | 0 | 1 | 2 | 3 | 0 | 2 | 2 | 0 | 4 | 1 | 3 | 1 | 1 |
175 | Barzyk, Julia G. | The University of Chicago | 2007 | female | 3 | 0 | 2007 | 3 | 0 | 2007 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
176 | Casebeer, Darrin Alan | The University of Oklahoma | 2007 | male | 2 | 1 | 2008 | 9 | 2 | 2009 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 4 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
177 | Donovan, David A. K. | University of Hawai'i at Manoa | 2007 | male | 1 | 0 | 2007 | 5 | 8 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 |
178 | Eissa, Farhat | University of Nevada, Reno | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
179 | Finke, Justin D. | Ohio University | 2007 | male | 4 | 11 | 2016 | 4 | 72 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 1 | 2 | 0 | 1 | 1 | 1 | 2 | 1 |  0 | 0 | 0 | 1 | 0 | 3 | 3 | 11 | 8 | 9 | 5 | 5 | 8 | 13 | 8 |
180 | Hasegan, Ioana Monica | Rutgers The State University of New Jersey - New Brunswick | 2007 | female | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
181 | Li, Wenhui | University of New Hampshire | 2007 | female | 3 | 30 | 2017 | 32 | 137 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 3 | 2 | 5 | 4 | 2 | 3 | 3 | 4 |  1 | 5 | 2 | 4 | 11 | 9 | 14 | 15 | 7 | 16 | 11 | 17 | 15 | 16 | 22 |
182 | Mondragon, Antonio R. | Texas A&M University | 2007 | male | 1 | 0 | 2007 | 1 | 1 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
183 | Ning, He | University of Minnesota | 2007 | male | 2 | 0 | 2007 | 2 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
184 | Oishi, Jeffrey Satoshi | University of Virginia | 2007 | male | 3 | 3 | 2015 | 6 | 17 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 0 | 0 | 1 | 4 | 1 | 1 | 1 | 2 | 2 | 0 | 2 | 2 | 3 |
185 | Zhao, Yong | The University of Chicago | 2007 | male | 7 | 10 | 2015 | 70 | 133 | 2017 | 0 | 1 | 0 | 1 | 1 | 4 | 0 | 1 | 0 | 0 | 1 | 4 | 2 | 2 | 0 |  7 | 9 | 13 | 7 | 14 | 20 | 15 | 10 | 15 | 17 | 10 | 14 | 19 | 19 | 11 |
186 | Gupta, Swati | Ohio University | 2007 | female | 15 | 4 | 2013 | 50 | 74 | 2017 | 3 | 2 | 3 | 2 | 3 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |  5 | 15 | 5 | 12 | 9 | 4 | 11 | 10 | 9 | 4 | 2 | 6 | 13 | 10 | 8 |
187 | Hakmana Witharana, Sampath | Georgia State University | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
188 | Rybka, Gray | Massachusetts Institute of Technology | 2007 | male | 1 | 3 | 2015 | 1 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 3 | 0 | 0 | 1 | 1 | 1 |
189 | Selkowitz, Robert | University of Rochester | 2007 | male | 4 | 0 | 2007 | 4 | 0 | 2007 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
190 | Raschke, Lynne M. | University of California, Santa Cruz | 2007 | female | 1 | 0 | 2007 | 5 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
191 | Lehmer, Bret | Pennsylvania State University | 2007 | male | 5 | 11 | 2016 | 11 | 68 | 2017 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 2 | 2 | 0 | 1 | 2 | 1 | 1 | 1 |  0 | 1 | 0 | 3 | 3 | 4 | 4 | 7 | 7 | 5 | 5 | 11 | 6 | 5 | 12 |
192 | Marleau, Peter Anthony | University of California, Davis | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
193 | Younk, Patrick William | Michigan Technological University | 2007 | male | 1 | 4 | 2012 | 4 | 56 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 4 | 4 | 4 | 6 | 10 | 12 | 3 | 9 | 5 | 2 |
194 | Zawaski, Mike J. | University of Northern Colorado | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
195 | Clark, David M. | University of Florida | 2007 | male | 6 | 6 | 2014 | 11 | 63 | 2017 | 0 | 0 | 0 | 1 | 2 | 3 | 1 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 |  1 | 0 | 1 | 3 | 2 | 4 | 6 | 15 | 14 | 10 | 8 | 3 | 3 | 2 | 1 |
196 | Dobbs-Dixon, Ian M. | University of California, Santa Cruz | 2007 | male | 3 | 5 | 2015 | 3 | 16 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 3 | 1 | 2 | 4 |
197 | Garrett, Travis Marshall | The University of North Carolina at Chapel Hill | 2007 | male | 1 | 0 | 2007 | 1 | 2 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
198 | Heng, Kevin S. G. | University of Colorado at Boulder | 2007 | male | 5 | 32 | 2017 | 6 | 69 | 2017 | 0 | 0 | 0 | 0 | 1 | 4 | 4 | 2 | 4 | 4 | 4 | 2 | 3 | 2 | 4 |  0 | 0 | 0 | 1 | 1 | 4 | 5 | 2 | 5 | 7 | 7 | 6 | 7 | 8 | 12 |
199 | Malu, Siddharth S. | The University of Wisconsin - Madison | 2007 | male | 1 | 2 | 2016 | 2 | 10 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 4 | 1 | 0 | 0 | 0 | 3 |
200 | Sander, Joel | University of California, Santa Barbara | 2007 | male | 1 | 0 | 2007 | 11 | 18 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 2 | 1 | 1 | 2 | 3 | 0 | 2 | 3 | 3 | 0 | 3 | 2 | 4 | 0 |
201 | Veras, Dimitri George | University of Colorado at Boulder | 2007 | male | 7 | 35 | 2017 | 8 | 62 | 2017 | 0 | 0 | 2 | 1 | 1 | 3 | 0 | 2 | 1 | 2 | 5 | 5 | 6 | 5 | 5 |  0 | 0 | 3 | 1 | 1 | 3 | 1 | 5 | 2 | 3 | 7 | 7 | 9 | 9 | 10 |
202 | Sterling, Nicholas Craig | The University of Texas at Austin | 2007 | male | 5 | 10 | 2017 | 6 | 15 | 2017 | 2 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 5 | 0 | 0 | 0 | 1 | 1 |  2 | 0 | 0 | 1 | 0 | 3 | 1 | 2 | 0 | 6 | 0 | 0 | 0 | 3 | 2 |
203 | Wells, Mary Anne | University of Delaware | 2007 | female | 1 | 0 | 2007 | 4 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
204 | Zhai, Yongjun | Texas A&M University | 2007 | male | 2 | 1 | 2011 | 4 | 3 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |
205 | Bart, Gwendolyn Diane | The University of Arizona | 2007 | female | 5 | 4 | 2014 | 5 | 6 | 2016 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 3 | 1 | 0 | 0 | 1 | 0 | 1 |
206 | Cook, Jason Campbell | Arizona State University | 2007 | male | 2 | 4 | 2014 | 4 | 28 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 2 | 3 | 4 | 9 |
207 | Dorland, Bryan N. | University of Maryland, College Park | 2007 | male | 2 | 0 | 2007 | 5 | 7 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 3 | 2 |
208 | Hsieh, Henry H. | University of Hawai'i at Manoa | 2007 | male | 4 | 18 | 2016 | 8 | 37 | 2016 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 3 | 3 | 2 | 3 | 1 | 2 | 3 | 1 |  0 | 0 | 2 | 2 | 2 | 2 | 0 | 4 | 4 | 8 | 7 | 4 | 4 | 5 | 1 |
209 | Kubo, Jeffrey | Brown University | 2007 | male | 2 | 5 | 2010 | 2 | 16 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 5 | 2 | 1 | 5 | 0 | 2 | 0 | 0 |
210 | Liu, Wilson Michael | The University of Arizona | 2007 | male | 8 | 13 | 2017 | 27 | 48 | 2017 | 0 | 2 | 1 | 1 | 2 | 2 | 0 | 2 | 2 | 3 | 0 | 1 | 1 | 2 | 1 |  1 | 11 | 3 | 3 | 5 | 4 | 5 | 5 | 6 | 8 | 5 | 7 | 3 | 2 | 5 |
211 | Gerke, Brian Francis | University of California, Berkeley | 2007 | male | 5 | 2 | 2013 | 21 | 23 | 2013 | 1 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  1 | 1 | 1 | 4 | 5 | 9 | 4 | 4 | 2 | 6 | 2 | 5 | 0 | 0 | 0 |
212 | Grundstrom, Erika D. | Georgia State University | 2007 | female | 6 | 1 | 2011 | 13 | 19 | 2016 | 0 | 0 | 0 | 0 | 1 | 5 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 10 | 3 | 1 | 5 | 5 | 1 | 2 | 0 | 1 | 1 |
213 | Lee, Kyoung-Soo | The Johns Hopkins University | 2007 | male | 3 | 11 | 2014 | 13 | 121 | 2017 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 2 | 2 | 2 | 1 | 0 | 0 |  0 | 1 | 4 | 4 | 3 | 1 | 13 | 14 | 3 | 13 | 13 | 12 | 4 | 5 | 31 |
214 | Marinas, Naibi | University of Florida | 2007 | male | 1 | 0 | 2007 | 4 | 8 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 2 |
215 | Lugaz, Noe E. R. | University of Michigan | 2007 | female | 4 | 17 | 2016 | 6 | 39 | 2016 | 0 | 0 | 0 | 2 | 0 | 2 | 2 | 2 | 3 | 2 | 2 | 2 | 1 | 2 | 1 |  0 | 1 | 0 | 3 | 0 | 2 | 4 | 3 | 3 | 4 | 4 | 9 | 4 | 5 | 3 |
216 | Mercer, Emily Pushee | Boston University | 2007 | female | 4 | 1 | 2009 | 12 | 1 | 2009 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 5 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
217 | Nguyen, Son Thanh | Auburn University | 2007 | male | 2 | 0 | 2007 | 2 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
218 | Newsham, Grant | The Ohio State University | 2007 | male | 2 | 0 | 2007 | 2 | 1 | 2010 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
219 | Shirakawa, Akiko | Cornell University | 2007 | female | 3 | 0 | 2007 | 3 | 0 | 2007 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
220 | Tatebe, Ken Toshio | University of California, Berkeley | 2007 | male | 5 | 1 | 2008 | 8 | 2 | 2011 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 5 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
221 | Tornabene, Livio Leonardo | The University of Tennessee | 2007 | male | 3 | 3 | 2013 | 8 | 39 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 4 | 2 | 7 | 2 | 8 | 4 | 8 | 3 | 0 | 3 | 2 |
222 | Al Dayeh, Maher Abdul Hamid | Florida Institute of Technology | 2007 | male | 1 | 0 | 2007 | 5 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
223 | Csatorday, Peter | Massachusetts Institute of Technology | 2007 | male | 1 | 0 | 2007 | 17 | 1 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 6 | 7 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
224 | Des Jardins, Angela Colman | Montana State University | 2007 | female | 2 | 1 | 2009 | 2 | 4 | 2010 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
225 | Abreu, Neyda Margarita | The University of New Mexico | 2007 | female | 2 | 7 | 2016 | 2 | 8 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 2 | 1 | 0 | 1 |
226 | Byrne, James Steven | Princeton University | 2007 | male | 1 | 1 | 2011 | 1 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 |
227 | Davis, Keith W. | Clemson University | 2007 | male | 1 | 0 | 2007 | 6 | 2 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 4 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
228 | Hanish, Daniel Jeffrey | The Johns Hopkins University | 2007 | male | 2 | 3 | 2015 | 6 | 9 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 3 | 2 | 0 | 1 | 2 | 0 | 1 | 2 | 0 | 2 | 0 |
229 | Reyes, Luis C. | University of Maryland, College Park | 2007 | male | 1 | 0 | 2007 | 2 | 98 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 1 | 21 | 13 | 18 | 12 | 10 | 11 | 9 | 3 |
230 | Scharringhausen, Britt Rebecca | Cornell University | 2007 | female | 2 | 1 | 2013 | 2 | 1 | 2013 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
231 | Foy, Joseph P. | Arizona State University | 2007 | male | 1 | 0 | 2007 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
232 | Gerhardt, Lisa Marie | University of California, Irvine | 2007 | female | 2 | 4 | 2011 | 32 | 112 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |  2 | 5 | 7 | 6 | 7 | 5 | 6 | 7 | 13 | 14 | 10 | 17 | 10 | 14 | 15 |
233 | Huerta, Marcos | Rice University | 2007 | male | 2 | 1 | 2008 | 5 | 3 | 2009 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
234 | Johnson, John Asher | University of California, Berkeley | 2007 | male | 9 | 23 | 2016 | 38 | 224 | 2017 | 0 | 0 | 3 | 1 | 2 | 3 | 2 | 4 | 5 | 4 | 1 | 1 | 3 | 1 | 2 |  0 | 1 | 8 | 6 | 11 | 12 | 7 | 20 | 31 | 28 | 23 | 23 | 23 | 28 | 31 |
235 | Modjaz, Maryam | Harvard University | 2007 | female | 3 | 9 | 2016 | 10 | 52 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 3 | 1 | 0 | 1 | 0 | 1 |  2 | 0 | 0 | 2 | 2 | 4 | 9 | 9 | 4 | 6 | 5 | 2 | 6 | 4 | 4 |
236 | Nayyar, Mohit | The Pennsylvania State University | 2007 | male | 2 | 0 | 2007 | 3 | 0 | 2007 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
237 | O'Hara, Timothy Brian | University of Illinois at Urbana-Champaign | 2007 | male | 4 | 0 | 2007 | 4 | 0 | 2007 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
