n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
52 | Im, Myungshin | THE JOHNS HOPKINS UNIVERSITY. | 1996 | None | 4 | 11 | 2015 | 13 | 168 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 1 | 2 | 5 | 5 | 4 | 1 | 1 | 0 | 2 | 3 | 1 | 8 | 8 | 7 | 11 | 10 | 11 | 14 | 10 | 16 | 9 | 12 | 27 | 6 |
53 | Kundic, Tomislav | PRINCETON UNIVERSITY. | 1996 | male | 5 | 2 | 1997 | 8 | 10 | 2003 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 3 | 3 | 4 | 1 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
54 | Larkin, James Edwin | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 5 | 5 | 2006 | 10 | 73 | 2017 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 5 | 2 | 3 | 1 | 3 | 2 | 12 | 3 | 5 | 3 | 2 | 2 | 5 | 6 | 2 | 3 | 1 | 0 | 2 | 1 | 3 | 7 | 6 |
55 | McCarthy, Thomas K. | THE UNIVERSITY OF TEXAS AT DALLAS. | 1996 | male | 1 | 0 | 1996 | 1 | 14 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 14 | 0 | 0 | 0 | 0 | 0 | 0 |
56 | Weisstein, Eric Wolfgang | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 3 | 0 | 1996 | 8 | 2 | 2002 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 5 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
57 | Shepherd, Deborah Susan | THE UNIVERSITY OF WISCONSIN - MADISON. | 1996 | female | 4 | 14 | 2013 | 7 | 40 | 2016 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 2 | 1 | 1 | 2 | 1 | 1 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 2 | 1 | 0 | 1 | 3 | 1 | 4 | 2 | 6 | 4 | 3 | 2 | 5 | 0 | 0 | 2 | 2 | 2 | 1 | 1 | 1 | 3 | 0 | 0 | 1 |
58 | Kandhadai, Vijaya Ganapathi | THE UNIVERSITY OF WISCONSIN - MADISON. | 1996 | female | 1 | 0 | 1996 | 14 | 8 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 0 | 10 | 1 | 3 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
59 | Opansky, Brian Joseph | UNIVERSITY OF COLORADO AT BOULDER. | 1996 | male | 1 | 0 | 1996 | 2 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
60 | Payne, Peter Ellis | THE CLAREMONT GRADUATE UNIVERSITY. | 1996 | male | 2 | 0 | 1996 | 2 | 0 | 1996 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
61 | Reyes-Ruiz, Mauricio | RICE UNIVERSITY. | 1996 | male | 3 | 12 | 2015 | 5 | 30 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 2 | 2 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 4 | 1 | 2 | 1 | 0 | 7 | 2 |
62 | Suzuki, Jeff A. | BOSTON UNIVERSITY. | 1996 | male | 1 | 3 | 2016 | 16 | 74 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 |  0 | 0 | 3 | 2 | 6 | 5 | 8 | 3 | 0 | 3 | 10 | 5 | 13 | 3 | 8 | 1 | 1 | 9 | 0 | 0 | 0 | 3 | 3 | 1 | 1 | 2 |
63 | Tamblyn, Peter | THE UNIVERSITY OF ARIZONA. | 1996 | male | 4 | 0 | 1996 | 9 | 10 | 2014 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 2 | 0 | 4 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 2 | 1 | 1 | 0 | 0 |
64 | Fang, Yihu | COLUMBIA UNIVERSITY. | 1996 | male | 5 | 2 | 2010 | 7 | 12 | 2017 | 1 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 2 | 2 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 2 |
65 | Kim, Eun-Jin | THE UNIVERSITY OF CHICAGO. | 1996 | female | 2 | 14 | 2011 | 6 | 37 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 5 | 1 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 2 | 2 | 6 | 4 | 2 | 3 | 1 | 1 | 2 | 2 | 0 | 3 |
66 | Lamkin, Kenneth Lee | UNIVERSITY OF NOTRE DAME. | 1996 | male | 1 | 0 | 1996 | 6 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
67 | Yancopoulos, Sophia | COLUMBIA UNIVERSITY. | 1996 | female | 2 | 0 | 1996 | 3 | 0 | 1996 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
68 | Lyons, James Richard | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 4 | 13 | 2014 | 5 | 31 | 2017 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 4 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 1 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 3 | 0 | 5 | 1 | 3 | 2 | 4 | 0 | 0 | 1 | 3 | 3 | 0 | 2 |
69 | Putney, Angela | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | female | 5 | 1 | 1997 | 8 | 1 | 1997 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
70 | Riess, Adam Guy | HARVARD UNIVERSITY. | 1996 | male | 5 | 26 | 2016 | 7 | 164 | 2017 | 0 | 0 | 0 | 0 | 2 | 3 | 2 | 2 | 4 | 2 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 2 | 1 | 2 | 3 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 1 | 2 | 4 | 2 | 7 | 8 | 5 | 7 | 4 | 4 | 8 | 7 | 7 | 7 | 10 | 8 | 11 | 8 | 15 | 7 | 13 | 12 | 13 |
71 | Smith, Randall Knowles | THE UNIVERSITY OF WISCONSIN - MADISON. | 1996 | male | 2 | 41 | 2016 | 7 | 172 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 3 | 1 | 0 | 0 | 1 | 2 | 2 | 4 | 4 | 3 | 3 | 5 | 5 | 2 | 2 | 1 |  0 | 1 | 1 | 0 | 1 | 4 | 0 | 4 | 3 | 2 | 8 | 4 | 4 | 7 | 5 | 7 | 6 | 8 | 11 | 9 | 13 | 16 | 17 | 11 | 12 | 18 |
72 | Tarkenton, Grey Mckaughan | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
73 | Grama, Ananth Y. | UNIVERSITY OF MINNESOTA. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
74 | Hillis, Neil Alan | UNIVERSITY OF CALIFORNIA, IRVINE. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
75 | Kane, Brian Douglas | Phillips Laboratory/GPOB, 29 Randolph Road, Hanscom AFB, MA 01731, USA | 1996 | male | 4 | 1 | 1997 | 5 | 2 | 1998 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
76 | Azzam, Walid Jamil | STANFORD UNIVERSITY. | 1996 | male | 1 | 7 | 2016 | 1 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 2 |
77 | Barry, Donald James | GEORGIA STATE UNIVERSITY. | 1996 | male | 1 | 1 | 2002 | 6 | 36 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 10 | 5 | 0 | 4 | 2 | 0 | 1 | 3 | 3 | 0 | 1 | 1 | 1 |
78 | Carini, Paolo | STANFORD UNIVERSITY. | 1996 | male | 3 | 0 | 1996 | 6 | 2 | 1997 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
79 | Dehner, Benjamin T. | IOWA STATE UNIVERSITY. | 1996 | male | 2 | 0 | 1996 | 3 | 0 | 1996 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
80 | Ferrarese, Laura | THE JOHNS HOPKINS UNIVERSITY. | 1996 | female | 5 | 16 | 2016 | 17 | 146 | 2017 | 0 | 0 | 0 | 1 | 0 | 4 | 1 | 1 | 1 | 3 | 1 | 1 | 2 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 2 | 6 | 1 | 8 | 4 | 9 | 10 | 9 | 6 | 1 | 2 | 9 | 6 | 8 | 8 | 6 | 4 | 7 | 4 | 7 | 7 | 10 | 11 | 15 |
81 | Vasisht, Gautam | California Institute of Technology | 1996 | male | 4 | 3 | 2000 | 9 | 69 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 2 | 3 | 2 | 4 | 2 | 4 | 3 | 3 | 2 | 3 | 0 | 3 | 1 | 0 | 2 | 4 | 6 | 4 | 7 | 4 | 1 | 8 | 6 |
82 | Shelton, Robin Lynn | THE UNIVERSITY OF WISCONSIN - MADISON. | 1996 | male | 2 | 15 | 2012 | 2 | 55 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 2 | 0 | 1 | 1 | 1 | 2 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 3 | 3 | 3 | 3 | 3 | 1 | 4 | 1 | 2 | 3 | 1 | 7 | 6 | 1 | 3 | 1 | 4 | 4 | 1 |
83 | Cherdack, Robert Neil | COLUMBIA UNIVERSITY. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
84 | Fowler, James Robert | THE UNIVERSITY OF CHICAGO. | 1996 | male | 1 | 0 | 1996 | 2 | 10 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 |
85 | Kargatis, Vincent Emanuel | RICE UNIVERSITY. | 1996 | male | 4 | 0 | 1996 | 6 | 0 | 1996 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
86 | Mbonye, Manasse Rwabuzisoni | THE UNIVERSITY OF CONNECTICUT. | 1996 | male | 1 | 7 | 2012 | 1 | 11 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
87 | Hajian, Arsen Rosdom | CORNELL UNIVERSITY. | 1996 | male | 7 | 6 | 2007 | 11 | 39 | 2016 | 0 | 0 | 1 | 0 | 2 | 4 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 2 | 6 | 4 | 3 | 2 | 3 | 5 | 2 | 3 | 3 | 1 | 3 | 2 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 0 | 1 |
88 | Shorey, Peter A. | UNIVERSITY OF MAINE. | 1996 | male | 1 | 0 | 1996 | 1 | 1 | 1997 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
89 | Kuhn, Olga Patricia | HARVARD UNIVERSITY. | 1996 | female | 2 | 2 | 2004 | 5 | 12 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
90 | Ivezic, Zeljko | UNIVERSITY OF KENTUCKY. | 1996 | male | 2 | 23 | 2010 | 5 | 304 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 8 | 8 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 3 | 7 | 3 | 2 | 16 | 27 | 32 | 27 | 35 | 27 | 14 | 14 | 20 | 9 | 19 | 12 | 14 | 7 | 9 | 5 | 4 |
91 | Katsavounidis, Erotokritos C. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 0 | 1996 | 12 | 186 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 4 | 1 | 3 | 2 | 2 | 6 | 3 | 5 | 1 | 1 | 2 | 6 | 9 | 10 | 3 | 8 | 19 | 14 | 10 | 7 | 16 | 8 | 13 | 6 | 27 |
92 | Lubecke, Victor Manuel | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
93 | Montes, Marcos Jordan | STANFORD UNIVERSITY. | 1996 | male | 2 | 5 | 2014 | 3 | 14 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 2 | 3 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |
94 | Gladman, Brett James | CORNELL UNIVERSITY. | 1996 | male | 7 | 21 | 2012 | 7 | 97 | 2017 | 1 | 0 | 1 | 0 | 1 | 4 | 3 | 3 | 0 | 3 | 2 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 1 | 4 | 5 | 6 | 1 | 6 | 3 | 3 | 2 | 4 | 5 | 7 | 4 | 6 | 6 | 5 | 4 | 7 | 4 | 1 | 4 | 7 |
95 | Hansen, Bradley Miles Stougaard | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 9 | 2017 | 2 | 29 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 1 | 4 | 1 | 0 | 1 | 0 | 2 | 2 | 1 | 2 | 2 | 4 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 1 |
96 | Kennefick, Julia Dusk | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | female | 4 | 2 | 2008 | 4 | 15 | 2016 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 1 |
97 | Leonard, Richard Edward | THE OHIO STATE UNIVERSITY. | 1996 | male | 2 | 0 | 1996 | 2 | 1 | 1998 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
98 | Mallozzi, Robert S. | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1996 | male | 3 | 1 | 2000 | 14 | 12 | 2013 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 4 | 3 | 7 | 1 | 2 | 2 | 5 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
99 | Powell, John Morgan | BRIGHAM YOUNG UNIVERSITY. | 1996 | male | 2 | 1 | 2001 | 5 | 56 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 1 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 9 | 4 | 27 |
