n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
243 | Hauck, John Christian | UNIVERSITY OF MISSOURI - COLUMBIA | 2003 | male | 2 | 1 | 2015 | 3 | 1 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
244 | Kangas, Miikka Matias | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 2003 | male | 1 | 0 | 2003 | 1 | 5 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
245 | Rosenberg, Adam Lewis | PRINCETON UNIVERSITY | 2003 | male | 7 | 2 | 2013 | 10 | 13 | 2015 | 3 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  3 | 1 | 4 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 5 | 1 | 1 | 0 |
246 | Stephens, Thomas Edward, Jr. | NEW MEXICO STATE UNIVERSITY | 2003 | male | 2 | 0 | 2003 | 3 | 14 | 2015 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 7 | 2 | 1 | 2 | 1 | 0 | 1 | 0 |
247 | Homeier, Nicole Lea | THE UNIVERSITY OF WISCONSIN - MADISON | 2003 | female | 6 | 5 | 2006 | 9 | 29 | 2009 | 0 | 1 | 0 | 0 | 2 | 3 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 0 | 2 | 4 | 3 | 12 | 9 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
248 | Ibrahim, Alaa I. | The George Washington University | 2003 | male | 4 | 3 | 2007 | 5 | 9 | 2013 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 2 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 |
249 | Wiegert, Craig Charles | THE UNIVERSITY OF CHICAGO | 2003 | male | 1 | 0 | 2003 | 1 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
250 | Bolen, Brett Day | THE UNIVERSITY OF MISSISSIPPI | 2003 | male | 2 | 2 | 2005 | 2 | 5 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
251 | Zabel, Shane Allen | CARNEGIE MELLON UNIVERSITY | 2003 | male | 2 | 0 | 2003 | 3 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
252 | Hoffman, Mark Brian | The University of Chicago | 2003 | male | 3 | 1 | 2014 | 5 | 17 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 2 | 0 | 1 | 3 | 4 | 2 | 2 | 0 | 1 | 1 | 0 |
