 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 81 | Sayanagi, Kunio Max | The University of Arizona | 2007 | male | 2 | 6 | 2017 | 2 | 15 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 1 | 3 | 2 | 2 | 3 | 0 |
 85 | Covarrubias, Ricardo Alberto | University of Washington | 2007 | male | 1 | 0 | 2007 | 12 | 18 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 3 | 2 | 4 | 4 | 1 | 1 | 1 | 0 | 0 | 1 | 8 | 2 |
 89 | Baranec, Christoph James | The University of Arizona | 2007 | male | 2 | 7 | 2016 | 3 | 42 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 1 | 0 | 1 | 6 | 5 | 16 | 6 |
 95 | Eckart, Megan Elizabeth | California Institute of Technology | 2007 | female | 4 | 2 | 2012 | 9 | 8 | 2017 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 2 | 2 | 1 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 |
 96 | Yang, Min | California Institute of Technology | 2007 | male | 3 | 2 | 2016 | 11 | 30 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 3 | 2 | 4 | 5 | 3 | 3 | 3 | 2 | 2 | 3 | 5 | 3 |
 100 | Yan, Renbin | University of California, Berkeley | 2007 | male | 4 | 6 | 2016 | 24 | 62 | 2017 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 2 | 0 | 2 | 3 | 4 | 4 | 11 | 4 | 5 | 4 | 6 | 6 | 9 | 1 | 11 | 9 |
 102 | Shen, Jiajian | The Pennsylvania State University | 2007 | male | 5 | 1 | 2008 | 6 | 6 | 2016 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 2 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 |
 107 | Idzi, Rafal | The Johns Hopkins University | 2007 | male | 2 | 0 | 2007 | 10 | 1 | 2009 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 5 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 112 | Becker, George D. | California Institute of Technology | 2007 | male | 4 | 8 | 2015 | 6 | 50 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 2 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 2 | 4 | 2 | 6 | 4 | 5 | 6 | 7 | 9 |
 114 | Mandell, Avram M. | The Pennsylvania State University | 2007 | male | 1 | 0 | 2007 | 2 | 7 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 |
 118 | Ogliore, Ryan Christopher | California Institute of Technology | 2007 | male | 1 | 9 | 2015 | 2 | 37 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 5 | 3 | 1 | 1 | 6 | 1 | 15 | 2 | 2 |
 122 | Bai, Lei | The University of Arizona | 2007 | male | 6 | 6 | 2014 | 13 | 19 | 2014 | 0 | 0 | 0 | 0 | 3 | 3 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 6 | 0 | 3 | 4 | 4 | 4 | 2 | 1 | 2 | 3 | 3 | 0 | 0 |
 123 | Lau, Judy M. | Princeton University | 2007 | female | 2 | 0 | 2007 | 3 | 21 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 7 | 1 | 2 | 1 | 1 | 3 |
 135 | Parrish, Ian Joel | Princeton University | 2007 | male | 4 | 7 | 2012 | 4 | 28 | 2016 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 3 | 4 | 3 | 3 | 9 | 2 | 2 | 0 | 2 |
 136 | Strader, Jay | University of California, Santa Cruz | 2007 | male | 11 | 15 | 2016 | 38 | 148 | 2017 | 1 | 3 | 3 | 1 | 1 | 2 | 2 | 1 | 0 | 2 | 4 | 1 | 1 | 3 | 1 | 1 | 5 | 7 | 8 | 9 | 8 | 6 | 11 | 4 | 14 | 17 | 11 | 24 | 25 | 29 |
 140 | Sirko, Edwin | Princeton University | 2007 | male | 6 | 0 | 2007 | 8 | 0 | 2007 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 143 | Vance, Steven | University of Washington | 2007 | male | 1 | 1 | 2016 | 2 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |
 150 | Fitzgerald, Michael Patrick | University of California, Berkeley | 2007 | male | 4 | 3 | 2015 | 8 | 42 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 2 | 5 | 3 | 2 | 2 | 2 | 2 | 1 | 3 | 13 | 9 |
 165 | Fabrycky, Daniel Clark | Princeton University | 2007 | male | 4 | 5 | 2014 | 7 | 103 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 5 | 1 | 3 | 8 | 23 | 21 | 12 | 13 | 7 | 9 |
 166 | Baughman, Brian | University of California, Santa Cruz | 2007 | male | 1 | 2 | 2011 | 2 | 102 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 5 | 31 | 31 | 11 | 14 | 3 | 2 | 4 | 1 |
 171 | Jeong, Eunhwa | University of California, Berkeley | 2007 | female | 3 | 1 | 2010 | 4 | 1 | 2010 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 174 | Upadhye, Amol Ravindra | Princeton University | 2007 | male | 4 | 8 | 2016 | 6 | 15 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 0 | 3 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 3 | 0 | 2 | 2 | 0 | 4 | 1 | 3 | 1 | 1 |
 175 | Barzyk, Julia G. | The University of Chicago | 2007 | female | 3 | 0 | 2007 | 3 | 0 | 2007 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 185 | Zhao, Yong | The University of Chicago | 2007 | male | 7 | 10 | 2015 | 70 | 133 | 2017 | 0 | 1 | 0 | 1 | 1 | 4 | 0 | 1 | 0 | 0 | 1 | 4 | 2 | 2 | 0 | 7 | 9 | 13 | 7 | 14 | 20 | 15 | 10 | 15 | 17 | 10 | 14 | 19 | 19 | 11 |
 190 | Raschke, Lynne M. | University of California, Santa Cruz | 2007 | female | 1 | 0 | 2007 | 5 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 191 | Lehmer, Bret | Pennsylvania State University | 2007 | male | 5 | 11 | 2016 | 11 | 68 | 2017 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 2 | 2 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 1 | 0 | 3 | 3 | 4 | 4 | 7 | 7 | 5 | 5 | 11 | 6 | 5 | 12 |
 196 | Dobbs-Dixon, Ian M. | University of California, Santa Cruz | 2007 | male | 3 | 5 | 2015 | 3 | 16 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 3 | 1 | 2 | 4 |
 205 | Bart, Gwendolyn Diane | The University of Arizona | 2007 | female | 5 | 4 | 2014 | 5 | 6 | 2016 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 3 | 1 | 0 | 0 | 1 | 0 | 1 |
 210 | Liu, Wilson Michael | The University of Arizona | 2007 | male | 8 | 13 | 2017 | 27 | 48 | 2017 | 0 | 2 | 1 | 1 | 2 | 2 | 0 | 2 | 2 | 3 | 0 | 1 | 1 | 2 | 1 | 1 | 11 | 3 | 3 | 5 | 4 | 5 | 5 | 6 | 8 | 5 | 7 | 3 | 2 | 5 |
 211 | Gerke, Brian Francis | University of California, Berkeley | 2007 | male | 5 | 2 | 2013 | 21 | 23 | 2013 | 1 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 5 | 9 | 4 | 4 | 2 | 6 | 2 | 5 | 0 | 0 | 0 |
 213 | Lee, Kyoung-Soo | The Johns Hopkins University | 2007 | male | 3 | 11 | 2014 | 13 | 121 | 2017 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 4 | 4 | 3 | 1 | 13 | 14 | 3 | 13 | 13 | 12 | 4 | 5 | 31 |
 220 | Tatebe, Ken Toshio | University of California, Berkeley | 2007 | male | 5 | 1 | 2008 | 8 | 2 | 2011 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 5 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 226 | Byrne, James Steven | Princeton University | 2007 | male | 1 | 1 | 2011 | 1 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 |
 228 | Hanish, Daniel Jeffrey | The Johns Hopkins University | 2007 | male | 2 | 3 | 2015 | 6 | 9 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 1 | 2 | 0 | 1 | 2 | 0 | 2 | 0 |
 234 | Johnson, John Asher | University of California, Berkeley | 2007 | male | 9 | 23 | 2016 | 38 | 224 | 2017 | 0 | 0 | 3 | 1 | 2 | 3 | 2 | 4 | 5 | 4 | 1 | 1 | 3 | 1 | 2 | 0 | 1 | 8 | 6 | 11 | 12 | 7 | 20 | 31 | 28 | 23 | 23 | 23 | 28 | 31 |
 236 | Nayyar, Mohit | The Pennsylvania State University | 2007 | male | 2 | 0 | 2007 | 3 | 0 | 2007 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 243 | Siegler, Nicholas | The University of Arizona | 2007 | male | 1 | 0 | 2007 | 4 | 1 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 257 | Pritchard, Jonathan Robin | California Institute of Technology | 2007 | male | 6 | 8 | 2015 | 14 | 37 | 2016 | 0 | 0 | 0 | 1 | 2 | 3 | 2 | 1 | 3 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 3 | 3 | 5 | 6 | 4 | 4 | 5 | 4 | 2 | 3 | 7 | 2 |
 262 | Micic, Miroslav | The Pennsylvania State University | 2007 | male | 3 | 3 | 2016 | 3 | 8 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 3 |
 269 | Atulugama, Buddhika Sanjeevi Kumari | The Pennsylvania State University | 2007 | male | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 272 | Hedden, Abigail S. | The University of Arizona | 2007 | female | 2 | 1 | 2009 | 8 | 6 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |
 273 | Qin, Liping | The University of Chicago | 2007 | female | 1 | 12 | 2015 | 3 | 22 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 0 | 2 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 9 | 0 | 3 | 2 | 2 | 0 | 0 | 3 | 0 |
 274 | Richwine, Pebble Lea | The University of Arizona | 2007 | female | 7 | 0 | 2007 | 10 | 0 | 2007 | 0 | 0 | 1 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 276 | Yoachim, Peter | University of Washington | 2007 | male | 3 | 5 | 2012 | 5 | 15 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 2 | 1 | 0 | 2 | 1 | 1 | 3 | 1 |
 285 | Sheffer, Abigail Anne | The University of Arizona | 2007 | female | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 287 | Smith, Britton Devon | The Pennsylvania State University | 2007 | male | 4 | 7 | 2017 | 9 | 51 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 3 | 4 | 4 | 6 | 4 | 6 | 7 | 6 | 1 | 4 |
 292 | Benzvi, Segev Yosef | School: Columbia University | 2007 | male | 3 | 2 | 2011 | 25 | 136 | 2017 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 6 | 6 | 8 | 9 | 3 | 8 | 20 | 22 | 20 | 14 | 16 | 17 |
 296 | Soderberg, Alicia | California Institute of Technology | 2007 | female | 14 | 5 | 2012 | 47 | 110 | 2017 | 1 | 1 | 3 | 2 | 5 | 2 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 8 | 4 | 10 | 14 | 10 | 9 | 5 | 10 | 12 | 19 | 17 | 16 | 13 | 8 |
 297 | Salem, Michael Phillip | California Institute of Technology | 2007 | male | 3 | 7 | 2013 | 5 | 13 | 2014 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 2 | 1 | 1 | 4 | 1 | 3 | 2 | 1 | 0 | 0 |
 303 | Pessah, Martin Elias | The University of Arizona | 2007 | male | 7 | 6 | 2013 | 8 | 20 | 2017 | 0 | 1 | 0 | 1 | 2 | 3 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 3 | 2 | 2 | 2 | 0 | 1 | 1 | 0 | 7 | 4 |
 309 | Marble, Andrew Robert | The University of Arizona | 2007 | male | 3 | 3 | 2010 | 6 | 10 | 2014 | 0 | 1 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 3 | 3 | 1 | 1 | 2 | 1 | 1 | 1 | 0 | 0 |
 310 | Nisbett, Catherine Elaine | Princeton University | 2007 | female | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 314 | Wu, Xiaoan | Princeton University | 2007 | male | 15 | 4 | 2015 | 59 | 64 | 2016 | 3 | 1 | 4 | 2 | 3 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 5 | 8 | 17 | 11 | 13 | 5 | 6 | 5 | 10 | 7 | 7 | 3 | 8 | 10 | 8 |
 318 | Chan, Chi-Kwan | The University of Arizona | 2007 | female | 3 | 9 | 2015 | 6 | 22 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 3 | 0 | 1 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 3 | 0 | 1 | 2 | 1 | 1 | 5 | 5 |
 321 | Tilak, Avanti | The Johns Hopkins University | 2007 | female | 2 | 1 | 2008 | 2 | 5 | 2012 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
 327 | Chung, Aeree | Columbia University | 2007 | female | 5 | 5 | 2012 | 6 | 35 | 2017 | 1 | 0 | 1 | 0 | 1 | 2 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 2 | 1 | 5 | 3 | 3 | 3 | 1 | 3 | 7 | 6 |
