n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
197 | Walker, Gary | The University of Utah, Utah, USA | 2004 | male | 4 | 17 | 2016 | 43 | 93 | 2016 | 0 | 0 | 0 | 0 | 1 | 3 | 3 | 2 | 0 | 5 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 1 |  4 | 2 | 2 | 1 | 22 | 12 | 11 | 13 | 8 | 23 | 10 | 2 | 6 | 6 | 4 | 3 | 4 | 3 |
198 | Fiske, David Robert | UNIVERSITY OF MARYLAND, COLLEGE PARK | 2004 | male | 2 | 2 | 2006 | 5 | 3 | 2006 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
199 | Chen, Yujun | University of California, Davis | 2004 | male | 31 | 57 | 2017 | 79 | 421 | 2017 | 3 | 3 | 7 | 3 | 8 | 7 | 3 | 6 | 6 | 4 | 3 | 8 | 6 | 3 | 2 | 6 | 5 | 4 |  8 | 13 | 13 | 8 | 14 | 23 | 26 | 23 | 25 | 30 | 31 | 25 | 32 | 44 | 25 | 45 | 37 | 59 |
200 | Heidarzadeh, Tofigh | The University of Oklahoma, Oklahoma, USA | 2004 | male | 1 | 3 | 2014 | 1 | 3 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |
201 | Brewer, Mary Margaret | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL | 2004 | female | 2 | 1 | 2006 | 3 | 3 | 2011 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
202 | Chen, Huei-Ru | University of California, rkeley, California, USA | 2004 | male | 3 | 16 | 2016 | 15 | 67 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 3 | 2 | 0 | 0 | 1 | 2 | 3 | 1 | 0 | 1 | 2 |  2 | 2 | 2 | 5 | 1 | 3 | 4 | 7 | 8 | 2 | 7 | 2 | 6 | 7 | 2 | 5 | 6 | 9 |
203 | Howell, Justin H. | University of California, nta Cruz, California, USA | 2004 | male | 4 | 4 | 2010 | 5 | 39 | 2017 | 0 | 2 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 3 | 0 | 0 | 0 | 2 | 1 | 2 | 2 | 1 | 3 | 4 | 8 | 3 | 6 | 4 | 1 | 2 |
204 | Laws, Christopher S. | University of Washington, Washington, USA | 2004 | male | 1 | 0 | 2004 | 2 | 3 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
205 | Hays, Elizabeth A. | UNIVERSITY OF MARYLAND, COLLEGE PARK | 2004 | female | 1 | 3 | 2008 | 5 | 196 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 3 | 1 | 3 | 11 | 42 | 50 | 20 | 20 | 10 | 11 | 12 | 11 |
206 | Huang, Xianglei | California Institute of Technology, California, USA | 2004 | male | 6 | 9 | 2017 | 23 | 45 | 2017 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 2 | 1 | 0 | 0 |  1 | 6 | 4 | 1 | 6 | 5 | 2 | 3 | 5 | 5 | 6 | 1 | 3 | 3 | 3 | 4 | 4 | 5 |
207 | Ucer, Defne | UNIVERSITY OF CALIFORNIA, SAN DIEGO | 2004 | female | 3 | 0 | 2004 | 5 | 0 | 2004 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
208 | Anderson, Matthew William | THE UNIVERSITY OF TEXAS AT AUSTIN | 2004 | male | 2 | 9 | 2010 | 4 | 26 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 2 | 3 | 2 | 3 | 2 | 0 | 1 | 3 | 4 | 3 | 1 |
209 | Christlein, Daniel | The University of Arizona, Arizona, USA | 2004 | male | 7 | 5 | 2010 | 9 | 16 | 2011 | 0 | 1 | 0 | 0 | 2 | 4 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 0 | 2 | 4 | 1 | 1 | 5 | 1 | 4 | 3 | 1 | 0 | 0 | 0 | 0 | 0 |
210 | Moise, Elena | The University of Arizona, Arizona, USA | 2004 | female | 1 | 1 | 2010 | 1 | 3 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
211 | Steele, David Arthur | THE UNIVERSITY OF WISCONSIN - MADISON | 2004 | male | 1 | 2 | 2008 | 27 | 50 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 4 | 4 | 9 | 10 | 5 | 8 | 3 | 6 | 13 | 8 | 7 | 0 | 0 | 0 | 0 | 0 |
212 | Yu, Zhenjiang | University of California, s Angeles, California, USA | 2004 | male | 4 | 4 | 2010 | 14 | 24 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 6 | 2 | 1 | 3 | 4 | 2 | 4 | 2 | 3 | 2 | 0 | 0 | 2 | 2 | 2 | 1 |
213 | Zimmer, Peter Christian | The University of New Mexico, New Mexico, USA | 2004 | male | 2 | 0 | 2004 | 2 | 3 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 |
214 | Cannon, John Michael | UNIVERSITY OF MINNESOTA | 2004 | male | 6 | 15 | 2016 | 7 | 75 | 2017 | 0 | 0 | 0 | 1 | 1 | 4 | 3 | 2 | 0 | 0 | 1 | 1 | 3 | 2 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 5 | 4 | 8 | 3 | 2 | 4 | 4 | 5 | 6 | 6 | 9 | 13 | 10 |
215 | Eatchel, Andrew Lynn | The University of Arizona, Arizona, USA | 2004 | male | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
216 | Fegan, Stephen | The University of Arizona, Arizona, USA | 2004 | male | 2 | 4 | 2008 | 34 | 270 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 1 | 1 | 3 | 20 | 7 | 6 | 5 | 5 | 11 | 35 | 58 | 33 | 38 | 21 | 19 | 21 | 12 |
217 | Ratay, Douglas Lee | UNIVERSITY OF FLORIDA | 2004 | male | 2 | 0 | 2004 | 2 | 2 | 2007 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
218 | Kamat, Sharmila | CASE WESTERN RESERVE UNIVERSITY | 2004 | female | 1 | 0 | 2004 | 9 | 16 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 5 | 2 | 2 | 1 | 3 | 3 | 5 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
219 | Orrell, John Laurence | UNIVERSITY OF WASHINGTON | 2004 | male | 1 | 0 | 2004 | 5 | 11 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 2 | 2 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 2 | 0 | 1 | 0 |
220 | Onifer, Andrew Joseph, III | THE UNIVERSITY OF IOWA | 2004 | male | 2 | 1 | 2006 | 2 | 1 | 2006 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
221 | Dobrea, Eldar Zeev Noe | CORNELL UNIVERSITY | 2004 | male | 1 | 0 | 2004 | 2 | 2 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
222 | Stantcheva, Tatiana | The Ohio State University | 2004 | female | 5 | 0 | 2004 | 6 | 0 | 2004 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
223 | Desai, Vandana | UNIVERSITY OF WASHINGTON | 2004 | female | 3 | 6 | 2011 | 9 | 54 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  1 | 4 | 0 | 0 | 1 | 3 | 1 | 5 | 7 | 7 | 11 | 5 | 5 | 5 | 2 | 1 | 1 | 3 |
224 | Tiscareno, Matthew Steven | The University of Arizona, Arizona, USA | 2004 | male | 3 | 15 | 2016 | 4 | 41 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 1 | 1 | 3 | 3 | 0 | 0 | 4 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 3 | 1 | 4 | 2 | 3 | 1 | 8 | 6 | 1 | 1 | 5 | 2 | 2 | 5 |
225 | Wood-Vasey, William Michael | University of California, rkeley, California, USA | 2004 | male | 3 | 3 | 2008 | 8 | 78 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 2 | 4 | 7 | 4 | 5 | 7 | 8 | 6 | 4 | 9 | 5 | 8 | 11 | 4 |
226 | Greathouse, Thomas Kirk | THE UNIVERSITY OF TEXAS AT AUSTIN | 2004 | male | 1 | 4 | 2011 | 6 | 68 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 3 | 7 | 3 | 2 | 3 | 2 | 5 | 3 | 6 | 5 | 5 | 9 | 14 |
227 | Hallman, Eric J. | UNIVERSITY OF MINNESOTA | 2004 | male | 3 | 6 | 2011 | 5 | 19 | 2014 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 2 | 1 | 2 | 3 | 3 | 2 | 3 | 0 | 2 | 1 | 0 | 0 |
228 | Nollenberg, Joshua Gene | UNIVERSITY OF MINNESOTA | 2004 | male | 3 | 1 | 2005 | 4 | 1 | 2005 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
229 | Abbas, Ousama H. | THE UNIVERSITY OF TEXAS AT EL PASO | 2004 | male | 1 | 0 | 2004 | 2 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
230 | Capak, Peter L. | UNIVERSITY OF HAWAI'I | 2004 | male | 2 | 7 | 2015 | 14 | 243 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 1 | 3 | 3 | 7 | 2 | 2 | 34 | 11 | 30 | 31 | 16 | 22 | 15 | 17 | 26 | 24 |
231 | Escala, Andres | Yale University, Connecticut, USA | 2004 | male | 3 | 8 | 2015 | 3 | 24 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 3 | 2 | 3 | 3 |
232 | Okamoto, Takemi | The University of Chicago, Illinois, USA | 2004 | male | 5 | 2 | 2009 | 8 | 17 | 2015 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 3 | 1 | 3 | 0 | 1 | 1 | 1 | 2 | 3 | 0 | 4 | 2 | 2 | 1 | 0 |
233 | Flanegan, Mark | University of Maryland, llege Park, Maryland, USA | 2004 | male | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
234 | Adamkovics, Mate | University of California, Berkeley, California, USA | 2004 | male | 1 | 0 | 2004 | 4 | 38 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 4 | 1 | 1 | 3 | 4 | 4 | 2 | 2 | 4 | 2 | 7 |
235 | Udomprasert, Patricia Simcoe | California Institute of Technology, California, USA | 2004 | female | 2 | 0 | 2004 | 9 | 1 | 2005 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 3 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
236 | Kasen, Daniel Nathan | University of California, rkeley, California, USA | 2004 | male | 4 | 16 | 2016 | 10 | 85 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 2 | 0 | 2 | 4 | 1 | 0 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 3 | 2 | 5 | 1 | 2 | 3 | 0 | 6 | 9 | 15 | 7 | 8 | 4 | 12 | 16 |
237 | Jao, Wei-Chun | Georgia State University, Georgia, USA | 2004 | male | 2 | 7 | 2016 | 5 | 40 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 2 |  0 | 0 | 1 | 0 | 1 | 3 | 5 | 5 | 2 | 2 | 2 | 1 | 6 | 1 | 1 | 7 | 4 | 3 |
238 | Thompson, Susan E. | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL | 2004 | female | 3 | 6 | 2015 | 8 | 84 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 |  1 | 0 | 0 | 1 | 1 | 5 | 4 | 0 | 3 | 5 | 4 | 2 | 14 | 15 | 14 | 6 | 8 | 9 |
239 | Warner, Craig D. | UNIVERSITY OF FLORIDA | 2004 | male | 4 | 0 | 2004 | 7 | 1 | 2005 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
240 | Kassin, Susan Alice Joan | The Ohio State University, Ohio, USA | 2004 | female | 1 | 0 | 2004 | 2 | 8 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 0 |
241 | Goldstein, Jonathan Harris | University of California, nta Barbara, California, USA | 2004 | male | 12 | 18 | 2017 | 29 | 81 | 2017 | 1 | 0 | 1 | 1 | 5 | 4 | 5 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 0 | 3 |  1 | 0 | 1 | 6 | 11 | 10 | 10 | 4 | 7 | 2 | 3 | 6 | 4 | 7 | 11 | 9 | 5 | 11 |
242 | Watson, Christer | THE UNIVERSITY OF WISCONSIN - MADISON | 2004 | male | 8 | 17 | 2016 | 26 | 97 | 2017 | 0 | 0 | 1 | 1 | 2 | 4 | 0 | 4 | 4 | 1 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 1 |  0 | 1 | 3 | 1 | 6 | 15 | 9 | 7 | 14 | 8 | 4 | 6 | 11 | 6 | 12 | 7 | 3 | 7 |
243 | Lin, Lap-Ming | WASHINGTON UNIVERSITY | 2004 | male | 2 | 8 | 2014 | 6 | 52 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  1 | 0 | 0 | 3 | 1 | 1 | 1 | 4 | 6 | 2 | 4 | 1 | 6 | 5 | 6 | 9 | 6 | 2 |
244 | Poludnenko, Alexei Y. | THE UNIVERSITY OF ROCHESTER | 2004 | male | 4 | 3 | 2015 | 4 | 4 | 2015 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |
