n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
231 | Burris, Debra Leigh | THE UNIVERSITY OF OKLAHOMA | 1998 | female | 1 | 2 | 2009 | 7 | 3 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
232 | Delamere, Peter A. | UNIVERSITY OF ALASKA FAIRBANKS | 1998 | male | 2 | 20 | 2016 | 3 | 66 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 2 | 0 | 2 | 1 |  0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 3 | 3 | 2 | 2 | 3 | 1 | 4 | 4 | 5 | 3 | 5 | 7 | 5 | 7 | 8 |
233 | Gorjian, Varoujan | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 1998 | male | 4 | 7 | 2008 | 5 | 50 | 2017 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 3 | 3 | 0 | 4 | 1 | 4 | 2 | 4 | 6 | 3 | 5 | 4 | 1 | 0 | 1 | 4 |
234 | Ho, George Cho-Wah | UNIVERSITY OF MARYLAND COLLEGE PARK | 1998 | male | 1 | 0 | 1998 | 5 | 4 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 |
235 | Maurellis, Ahilleas Nikolaou | UNIVERSITY OF KANSAS | 1998 | male | 1 | 4 | 2001 | 3 | 9 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 1 | 0 | 4 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
236 | Hoppa, Gregory Vincent | THE UNIVERSITY OF ARIZONA | 1998 | male | 1 | 6 | 2001 | 4 | 24 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 4 | 6 | 7 | 2 | 3 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
237 | Kupe, Renate | UNIVERSITY OF HAWAII | 1998 | female | 1 | 0 | 1998 | 1 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
238 | Lipman, Everett Arthur | UNIVERSITY OF CALIFORNIA, BERKELEY | 1998 | male | 1 | 1 | 2000 | 4 | 3 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
239 | Messinger, David W. | RENSSELAER POLYTECHNIC INSTITUTE | 1998 | male | 2 | 0 | 1998 | 4 | 0 | 1998 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
240 | Popowski, Piotr Andrzej | THE OHIO STATE UNIVERSITY | 1998 | male | 4 | 7 | 2005 | 8 | 35 | 2008 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 8 | 3 | 9 | 11 | 3 | 3 | 3 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
241 | Warren, John Kennedy | UNIVERSITY OF CALIFORNIA, BERKELEY | 1998 | male | 4 | 2 | 2010 | 9 | 9 | 2012 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  3 | 0 | 5 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |
242 | Case, Gary Lee, II | UNIVERSITY OF CALIFORNIA, RIVERSIDE | 1998 | male | 3 | 5 | 2011 | 7 | 21 | 2014 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 2 | 0 | 2 | 1 | 0 | 2 | 0 | 2 | 0 | 3 | 2 | 0 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 0 | 0 |
243 | D'Cruz, Noella Lambert | UNIVERSITY OF VIRGINIA | 1998 | female | 4 | 2 | 2000 | 5 | 3 | 2000 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 4 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
244 | Gerakines, Perry Alexander | RENSSELAER POLYTECHNIC INSTITUTE | 1998 | male | 5 | 12 | 2015 | 22 | 36 | 2016 | 0 | 0 | 3 | 1 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 0 |  0 | 2 | 6 | 7 | 3 | 4 | 5 | 3 | 7 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 3 | 0 | 1 | 2 | 2 | 2 | 4 | 1 |
245 | Jurcevic, John S. | INDIANA UNIVERSITY | 1998 | male | 2 | 1 | 2000 | 4 | 3 | 2000 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
246 | Lee, Wo-Lung | THE UNIVERSITY OF ARIZONA | 1998 | male | 1 | 2 | 2007 | 31 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  6 | 1 | 7 | 0 | 16 | 1 | 2 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
247 | Brown, Beth Anne | THE UNIVERSITY OF MICHIGAN | 1998 | female | 6 | 6 | 2009 | 16 | 52 | 2017 | 1 | 0 | 0 | 1 | 1 | 3 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 2 | 3 | 1 | 2 | 6 | 1 | 3 | 2 | 2 | 6 | 2 | 1 | 4 | 0 | 4 | 2 | 4 | 4 | 4 | 1 | 4 | 3 | 4 |
248 | Desch, Steven Joseph | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 1998 | male | 3 | 18 | 2017 | 3 | 59 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 2 | 0 | 2 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 3 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 1 | 4 | 0 | 4 | 0 | 1 | 5 | 4 | 8 | 5 | 1 | 3 | 2 | 5 | 8 | 3 |
249 | Gomez, Percy Luis | NEW MEXICO STATE UNIVERSITY | 1998 | male | 2 | 0 | 1998 | 5 | 25 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 3 | 1 | 0 | 3 | 0 | 4 | 6 | 1 | 0 | 0 | 1 | 4 | 1 | 1 | 0 | 1 | 1 | 0 | 2 | 0 |
250 | Lambert, Hendrick Clark | UNIVERSITY OF CALIFORNIA, SAN DIEGO | 1998 | male | 1 | 2 | 2000 | 1 | 2 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
251 | Maciejewski, Witold | THE UNIVERSITY OF WISCONSIN - MADISON | 1998 | male | 5 | 16 | 2012 | 5 | 38 | 2017 | 1 | 0 | 0 | 2 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 3 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 2 | 1 | 1 | 4 | 1 | 1 | 3 | 3 | 4 | 3 | 2 | 3 | 2 | 1 | 1 | 1 | 2 | 2 | 2 | 1 | 1 |
252 | Park, Sangwook | PURDUE UNIVERSITY | 1998 | male | 7 | 39 | 2017 | 10 | 124 | 2017 | 0 | 0 | 0 | 1 | 3 | 3 | 1 | 0 | 1 | 3 | 4 | 7 | 3 | 2 | 3 | 2 | 3 | 3 | 1 | 3 | 1 | 0 | 0 | 1 |  1 | 0 | 0 | 2 | 3 | 4 | 3 | 1 | 1 | 6 | 8 | 8 | 6 | 6 | 6 | 8 | 12 | 11 | 6 | 12 | 4 | 8 | 6 | 8 |
253 | Delabrouille, Jacques H. | THE UNIVERSITY OF CHICAGO | 1998 | male | 3 | 10 | 2013 | 4 | 192 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 1 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 4 | 2 | 6 | 1 | 2 | 5 | 3 | 6 | 1 | 2 | 4 | 3 | 4 | 29 | 3 | 18 | 37 | 15 | 49 |
254 | Kepner, Jeremy Victor | PRINCETON UNIVERSITY | 1998 | male | 4 | 3 | 1999 | 5 | 5 | 2002 | 1 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 2 | 1 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
255 | Wang, Hanguo | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 1998 | male | 14 | 43 | 2017 | 58 | 395 | 2017 | 2 | 4 | 2 | 3 | 0 | 3 | 0 | 1 | 0 | 2 | 2 | 1 | 4 | 1 | 3 | 6 | 2 | 2 | 2 | 5 | 1 | 5 | 1 | 4 |  16 | 10 | 13 | 9 | 6 | 4 | 7 | 13 | 25 | 9 | 23 | 8 | 30 | 13 | 18 | 26 | 12 | 15 | 30 | 26 | 26 | 29 | 23 | 43 |
256 | Young, Todd Scott | THE UNIVERSITY OF NEBRASKA - LINCOLN | 1998 | male | 1 | 2 | 2014 | 3 | 3 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |
257 | Cawley, Laura Joan | THE PENNSYLVANIA STATE UNIVERSITY | 1998 | female | 1 | 0 | 1998 | 1 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
258 | Nayakshin, Sergei Victor | THE UNIVERSITY OF ARIZONA | 1998 | male | 4 | 49 | 2017 | 5 | 91 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 4 | 5 | 1 | 1 | 2 | 4 | 2 | 4 | 0 | 2 | 3 | 4 | 5 | 3 | 3 | 4 | 1 |  0 | 0 | 0 | 1 | 2 | 2 | 0 | 4 | 9 | 1 | 3 | 2 | 5 | 6 | 6 | 1 | 5 | 5 | 10 | 10 | 8 | 6 | 6 | 3 |
259 | Leitch, Erik M. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 3 | 5 | 2013 | 5 | 138 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 2 | 1 | 2 | 1 | 5 | 3 | 2 | 1 | 0 | 1 | 3 | 9 | 17 | 13 | 15 | 17 | 14 | 25 | 9 |
260 | O'Brien, Michael Sean | IOWA STATE UNIVERSITY | 1998 | male | 8 | 5 | 2003 | 15 | 28 | 2009 | 0 | 1 | 1 | 2 | 1 | 3 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 3 | 3 | 2 | 6 | 0 | 7 | 2 | 2 | 5 | 3 | 2 | 2 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
261 | Pahre, Michael Andrew | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 8 | 5 | 2004 | 19 | 37 | 2012 | 0 | 1 | 2 | 1 | 0 | 4 | 2 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 4 | 3 | 5 | 6 | 6 | 2 | 3 | 0 | 1 | 9 | 1 | 7 | 3 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
262 | Cyr, Kimberly Ellen | THE UNIVERSITY OF ARIZONA | 1998 | female | 3 | 1 | 1999 | 3 | 2 | 2000 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
263 | Chotoo, Kancham | UNIVERSITY OF MARYLAND COLLEGE PARK | 1998 | male | 2 | 1 | 2000 | 2 | 1 | 2000 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
264 | Dohm-Palmer, Robbie Christopher | UNIVERSITY OF MINNESOTA | 1998 | male | 6 | 4 | 2002 | 8 | 16 | 2009 | 0 | 0 | 0 | 1 | 2 | 3 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 5 | 0 | 2 | 4 | 3 | 6 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
265 | Gregersen, Erik Michael | THE UNIVERSITY OF TEXAS AT AUSTIN | 1998 | male | 2 | 3 | 2001 | 4 | 13 | 2003 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 1 | 0 | 5 | 1 | 0 | 7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
266 | Hsu, Chia-Ming | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 1998 | male | 2 | 0 | 1998 | 2 | 7 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |
267 | Mills, Franklin Perry | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 2 | 5 | 2007 | 4 | 20 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 4 | 2 | 0 | 2 | 0 | 0 | 2 | 0 |
268 | Hunsberger, Sally D. | THE PENNSYLVANIA STATE UNIVERSITY | 1998 | female | 3 | 0 | 1998 | 3 | 21 | 2011 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 1 | 1 | 1 | 4 | 4 | 4 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
269 | Loomba, Dinesh | BOSTON UNIVERSITY | 1998 | male | 1 | 1 | 2000 | 3 | 18 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 0 | 1 | 0 | 2 | 2 | 3 |
270 | Cormier, Daniel | CARNEGIE-MELLON UNIVERSITY | 1998 | male | 1 | 10 | 2017 | 4 | 57 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 2 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 14 | 0 | 5 | 9 | 7 | 9 | 5 |
271 | Tsitas, Steven Ronald | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 2 | 0 | 1998 | 2 | 0 | 1998 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
272 | Weinberger, Alycia J. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | female | 1 | 13 | 2016 | 9 | 82 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 |  0 | 1 | 3 | 1 | 2 | 2 | 4 | 3 | 2 | 4 | 3 | 2 | 6 | 3 | 2 | 7 | 3 | 2 | 3 | 5 | 5 | 7 | 10 | 9 |
273 | Looney, Leslie Wayne | UNIVERSITY OF MARYLAND COLLEGE PARK | 1998 | female | 2 | 7 | 2007 | 7 | 79 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 2 | 1 | 1 | 0 | 3 | 2 | 1 | 2 | 0 | 2 | 6 | 4 | 6 | 3 | 4 | 8 | 5 | 8 | 8 | 9 | 7 |
274 | Morgan, David Lee | THE COLLEGE OF WILLIAM AND MARY | 1998 | male | 1 | 1 | 2017 | 2 | 13 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 3 | 1 | 2 | 1 |
275 | Williams, Daniel Leroy | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1998 | male | 3 | 2 | 2013 | 4 | 36 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 15 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 2 |
276 | Griffith, Laura Lee | WASHINGTON UNIVERSITY | 1998 | female | 4 | 0 | 1998 | 5 | 0 | 1998 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
277 | Wachter, Stefanie | UNIVERSITY OF WASHINGTON | 1998 | female | 6 | 9 | 2011 | 12 | 75 | 2017 | 0 | 0 | 0 | 1 | 2 | 3 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 3 | 3 | 4 | 2 | 1 | 2 | 5 | 3 | 10 | 3 | 5 | 9 | 3 | 4 | 11 | 7 | 5 | 1 | 3 | 0 | 0 |
278 | Yang, Tom | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1998 | male | 5 | 7 | 2016 | 37 | 33 | 2016 | 1 | 0 | 0 | 2 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  12 | 5 | 10 | 3 | 4 | 3 | 3 | 3 | 1 | 1 | 3 | 0 | 1 | 1 | 2 | 2 | 5 | 1 | 2 | 3 | 0 | 3 | 1 | 1 |
279 | Zaerpoor, Koorosh | OREGON STATE UNIVERSITY | 1998 | male | 3 | 2 | 1999 | 5 | 2 | 1999 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
280 | Dasgupta, Indranil | BOSTON UNIVERSITY | 1998 | male | 4 | 0 | 1998 | 5 | 0 | 1998 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
281 | Rector, Travis Arthur | UNIVERSITY OF COLORADO AT BOULDER | 1998 | male | 2 | 12 | 2017 | 4 | 34 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 2 | 4 | 1 | 2 | 3 | 3 | 4 | 2 | 1 | 4 | 2 | 0 | 0 | 0 | 0 | 5 | 1 | 1 | 0 |
