n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
206 | Templeton, Matthew Reed | New Mexico State University | 2000 | male | 3 | 25 | 2014 | 5 | 48 | 2016 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 2 | 2 | 3 | 3 | 1 | 1 | 1 | 2 | 1 | 1 | 3 | 2 | 2 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 3 | 1 | 3 | 5 | 5 | 4 | 1 | 1 | 3 | 2 | 4 | 4 | 4 | 4 | 3 | 0 | 4 |
207 | Birriel, Jennifer Jean | University of Pittsburgh | 2000 | female | 3 | 10 | 2014 | 3 | 11 | 2014 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 2 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 0 | 0 | 2 | 0 | 0 |
208 | Canalizo, Edith Gabriela | University of Hawai'i at Manoa | 2000 | female | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
209 | Haisch, Karl Erwin, Jr. | University of Florida | 2000 | male | 1 | 0 | 2000 | 1 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
210 | Hawley, Scott Hearne | The University of Texas at Austin | 2000 | male | 2 | 2 | 2004 | 5 | 5 | 2005 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 0 | 0 | 2 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
211 | Smith, Deano Ray | University of Michigan | 2000 | male | 4 | 4 | 2006 | 14 | 40 | 2016 | 0 | 1 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 2 | 0 | 3 | 3 | 4 | 3 | 1 | 6 | 5 | 2 | 2 | 0 | 1 | 3 | 4 | 0 | 3 | 2 | 4 | 0 | 4 |
212 | Lang, Cornelia Chesley | University of California, Los Angeles | 2000 | female | 6 | 7 | 2010 | 7 | 34 | 2016 | 0 | 0 | 2 | 0 | 3 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 2 | 0 | 3 | 1 | 2 | 4 | 2 | 1 | 2 | 3 | 1 | 0 | 2 | 5 | 4 | 2 | 0 | 2 | 2 | 2 |
213 | Lee, Andrew | Stanford University | 2000 | male | 8 | 1 | 2001 | 16 | 114 | 2017 | 3 | 0 | 1 | 0 | 0 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  3 | 1 | 1 | 0 | 2 | 9 | 7 | 2 | 3 | 4 | 0 | 3 | 2 | 3 | 5 | 9 | 11 | 13 | 15 | 12 | 14 | 9 |
214 | Miller, Amber Dawn | Princeton University | 2000 | female | 4 | 3 | 2015 | 17 | 60 | 2017 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  2 | 0 | 2 | 8 | 2 | 3 | 1 | 3 | 2 | 0 | 1 | 0 | 1 | 2 | 4 | 3 | 4 | 5 | 1 | 2 | 10 | 12 |
215 | Altice, Peter Parker, Jr. | Louisiana State University and Agricultural & Mechanical College | 2000 | male | 1 | 1 | 2002 | 4 | 1 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
216 | Ferrara, Elizabeth Colleen | Georgia State University | 2000 | female | 1 | 0 | 2000 | 5 | 120 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 17 | 18 | 22 | 17 | 6 | 11 | 18 |
217 | Mersini, Laura | THE UNIVERSITY OF WISCONSIN - MILWAUKEE | 2000 | female | 4 | 3 | 2001 | 4 | 10 | 2004 | 0 | 0 | 0 | 1 | 2 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 1 | 4 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
218 | Terzieva, Radoslava V. | The Ohio State University | 2000 | female | 5 | 0 | 2000 | 13 | 0 | 2000 | 0 | 0 | 0 | 2 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 4 | 4 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
219 | Friedrichsen, James Edward, III | The University of Texas at Austin | 2000 | male | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
220 | Lehr, Dana Elizabeth | Stanford University | 2000 | female | 2 | 0 | 2000 | 4 | 0 | 2000 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
221 | Saucedo Morales, Julio Cesar | The University of Arizona | 2000 | male | 1 | 0 | 2000 | 1 | 9 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 |
222 | Gaudi, Bernard Scott | The Ohio State University | 2000 | male | 9 | 18 | 2012 | 16 | 183 | 2017 | 0 | 0 | 3 | 2 | 1 | 3 | 2 | 4 | 2 | 2 | 4 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 4 | 2 | 3 | 7 | 4 | 7 | 6 | 8 | 10 | 7 | 4 | 11 | 9 | 12 | 9 | 15 | 19 | 12 | 20 | 19 |
223 | Williams, Peter Todd | The University of Texas at Austin | 2000 | male | 1 | 5 | 2017 | 2 | 30 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 5 | 8 | 6 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 0 |
224 | Cho, Jungyeon | The University of Texas at Austin | 2000 | female | 4 | 37 | 2016 | 7 | 80 | 2016 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 4 | 5 | 2 | 3 | 1 | 2 | 0 | 4 | 2 | 2 | 4 | 1 | 2 | 1 | 3 |  1 | 0 | 0 | 3 | 0 | 3 | 2 | 4 | 8 | 5 | 6 | 3 | 3 | 5 | 9 | 5 | 4 | 6 | 4 | 4 | 4 | 8 |
225 | Goldberg, David M. | Princeton University | 2000 | male | 9 | 8 | 2010 | 14 | 24 | 2016 | 0 | 0 | 3 | 3 | 1 | 2 | 2 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 5 | 4 | 3 | 2 | 4 | 1 | 0 | 2 | 3 | 1 | 3 | 4 | 0 | 2 | 2 | 0 | 0 | 1 | 0 | 1 |
226 | Hinrichs, John Lewis | University of Hawai'i at Manoa | 2000 | male | 2 | 1 | 2002 | 2 | 6 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
227 | Strong, Avaine | Howard University | 2000 | None | 13 | 14 | 2011 | 63 | 150 | 2017 | 4 | 3 | 1 | 0 | 3 | 2 | 5 | 0 | 4 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  19 | 14 | 6 | 6 | 13 | 5 | 12 | 3 | 18 | 2 | 8 | 3 | 4 | 15 | 12 | 14 | 11 | 14 | 9 | 4 | 11 | 8 |
228 | Stephens, Gregory James | University of Maryland, College Park | 2000 | male | 2 | 1 | 2002 | 2 | 32 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 11 | 12 | 3 | 0 | 0 | 0 | 0 |
229 | Zakharian, Aramais Robert | The University of Arizona | 2000 | male | 2 | 1 | 2001 | 6 | 3 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 3 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
230 | Li, Gang | INDIANA UNIVERSITY | 2000 | male | 6 | 33 | 2016 | 14 | 158 | 2017 | 0 | 1 | 2 | 2 | 0 | 1 | 0 | 0 | 3 | 0 | 4 | 2 | 2 | 1 | 3 | 3 | 2 | 4 | 3 | 2 | 3 | 1 |  0 | 1 | 3 | 6 | 2 | 2 | 1 | 0 | 6 | 4 | 6 | 5 | 5 | 7 | 8 | 7 | 4 | 14 | 17 | 19 | 25 | 24 |
231 | Daw, Adrian Nigel | HARVARD UNIVERSITY | 2000 | male | 3 | 0 | 2000 | 3 | 12 | 2017 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 1 | 2 | 1 | 1 |
232 | Martinez-Galarce, Dennis Stanley | STANFORD UNIVERSITY | 2000 | male | 2 | 0 | 2000 | 2 | 4 | 2008 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
233 | Mahan, Stephen Lee | THE UNIVERSITY OF TENNESSEE | 2000 | male | 1 | 0 | 2000 | 2 | 2 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
234 | Startin, William James | SYRACUSE UNIVERSITY | 2000 | male | 1 | 0 | 2000 | 2 | 1 | 2002 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
235 | Oser, Scott Michael | THE UNIVERSITY OF CHICAGO | 2000 | male | 2 | 1 | 2001 | 16 | 31 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 6 | 2 | 5 | 1 | 2 | 3 | 0 | 1 | 4 | 3 | 1 | 2 | 1 | 2 | 2 | 1 | 3 | 1 | 4 | 0 |
236 | Jewell, Jeffrey B. | THE UNIVERSITY OF CHICAGO | 2000 | male | 1 | 3 | 2009 | 1 | 38 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 3 | 1 | 0 | 3 | 3 | 4 | 1 | 2 | 1 | 2 | 11 | 3 | 3 |
237 | Tran, Phidung Hong | STATE UNIVERSITY OF NEW YORK AT STONY BROOK | 2000 | None | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
238 | Rivers, Andrew James | THE UNIVERSITY OF NEW MEXICO | 2000 | male | 2 | 0 | 2000 | 3 | 1 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
239 | Trujillo, Chadwick Aaron | UNIVERSITY OF HAWAII | 2000 | male | 3 | 10 | 2014 | 7 | 36 | 2016 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 4 | 3 | 1 | 1 | 2 | 6 | 4 | 3 | 2 | 1 | 2 | 2 | 2 | 0 | 3 | 2 | 2 |
240 | Beristain, Georgina | UNIVERSITY OF MASSACHUSETTS | 2000 | female | 2 | 1 | 2001 | 2 | 1 | 2001 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
241 | Oetiker, Brian Glen | THE UNIVERSITY OF NEW MEXICO | 2000 | male | 1 | 2 | 2010 | 3 | 4 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
242 | Rebull, Luisa Marie | Department of Astronomy, University of Chicago, 5640 S. Ellis Ave, Chicago, IL 60637 USA | 2000 | female | 3 | 22 | 2017 | 7 | 117 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 1 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 3 | 0 | 1 | 1 | 3 | 3 |  0 | 1 | 1 | 2 | 1 | 2 | 2 | 2 | 2 | 11 | 2 | 6 | 8 | 6 | 10 | 9 | 9 | 10 | 4 | 7 | 11 | 14 |
243 | Heinz, Sebastian | UNIVERSITY OF COLORADO AT BOULDER | 2000 | male | 6 | 26 | 2016 | 7 | 131 | 2017 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 3 | 3 | 2 | 3 | 2 | 3 | 2 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |  0 | 0 | 1 | 1 | 3 | 2 | 2 | 6 | 4 | 4 | 9 | 4 | 7 | 9 | 18 | 12 | 17 | 16 | 10 | 3 | 5 | 3 |
244 | Giblin, Timothy William | UNIVERSITY OF ALABAMA IN HUNTSVILLE | 2000 | male | 2 | 2 | 2004 | 5 | 13 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 3 | 1 | 0 | 2 | 1 | 4 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
245 | MacFadyen, Andrew Ian | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2000 | male | 2 | 2 | 2008 | 6 | 58 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 3 | 1 | 2 | 2 | 0 | 2 | 5 | 3 | 3 | 2 | 4 | 2 | 6 | 10 | 4 | 10 | 1 |
246 | Kim, Sungsoo S. | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2000 | male | 11 | 29 | 2017 | 18 | 128 | 2017 | 0 | 2 | 1 | 3 | 3 | 2 | 2 | 0 | 1 | 1 | 1 | 5 | 4 | 0 | 1 | 2 | 2 | 3 | 1 | 4 | 1 | 0 |  1 | 4 | 1 | 4 | 5 | 3 | 3 | 2 | 4 | 4 | 2 | 8 | 8 | 8 | 11 | 14 | 7 | 9 | 10 | 14 | 7 | 10 |
