# year all women men nodata
1970	152	6	143	3
1971	138	10	127	1
1972	198	13	184	1
1973	167	7	157	3
1974	240	17	167	56
1975	214	15	144	55
1976	243	10	187	46
1977	204	14	148	42
1978	229	9	168	52
1979	191	18	133	40
1980	174	10	127	37
1981	188	20	142	26
1982	153	20	121	12
1983	178	20	125	33
1984	154	19	108	27
1985	205	13	154	38
1986	166	17	144	5
1987	218	31	185	2
1988	215	25	185	5
1989	291	44	242	5
1990	313	47	257	9
1991	318	48	260	10
1992	321	45	270	6
1993	340	52	270	18
1994	325	40	271	14
1995	369	67	290	12
1996	135	23	108	4
1997	336	54	274	8
1998	327	71	253	3
1999	281	55	218	8
2000	297	54	228	15
2001	262	61	190	11
2002	253	41	206	6
2003	252	51	192	9
2004	301	68	226	7
2005	301	68	224	9
2006	310	82	213	15
2007	333	78	250	5
2008	393	115	266	12
2009	429	126	293	10
2010	352	98	245	9
2011	362	79	260	23
2012	359	97	232	30
2013	325	82	217	26
2014	335	98	220	17
2015	246	63	167	16
2016	316	89	203	24
2017	272	73	181	18
2018	167	43	113	11
