n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
125 | Sheikh, Suneel Ismail | University of Maryland, llege Park, Maryland, USA | 2005 | male | 1 | 0 | 2005 | 1 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
126 | Chamberlin, Phillip Clyde | University of Colorado at Boulder | 2005 | male | 1 | 7 | 2016 | 2 | 51 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 6 | 4 | 3 | 3 | 11 | 3 | 3 | 8 | 5 |
127 | Johnson, Bryan Mark | University of Illinois at Urbana-Champaign | 2005 | male | 4 | 12 | 2017 | 16 | 68 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 2 | 1 | 0 |  0 | 0 | 0 | 1 | 3 | 12 | 6 | 10 | 16 | 18 | 5 | 1 | 2 | 1 | 2 | 2 | 4 |
128 | Coyner, Aaron J. | Rice University | 2005 | male | 1 | 3 | 2011 | 1 | 5 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |
129 | Lin, Yen-Ting | University of Illinois at Urbana-Champaign | 2005 | male | 20 | 21 | 2016 | 31 | 91 | 2017 | 1 | 2 | 4 | 8 | 2 | 3 | 4 | 3 | 2 | 2 | 3 | 0 | 3 | 1 | 2 | 0 | 1 |  3 | 4 | 5 | 12 | 2 | 5 | 5 | 6 | 4 | 5 | 10 | 16 | 13 | 9 | 7 | 8 | 7 |
130 | Portuondo, Maria M. | The Johns Hopkins University | 2005 | female | 1 | 2 | 2010 | 1 | 2 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
131 | Muterspaugh, Matthew Ward | Massachusetts Institute of Technology | 2005 | male | 2 | 10 | 2015 | 3 | 40 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 1 | 0 | 5 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 6 | 3 | 1 | 2 | 7 | 1 | 3 | 3 | 3 | 5 | 6 |
132 | Wen, Chun-Hsien | The Pennsylvania State University, Pennsylvania, USA | 2005 | male | 3 | 1 | 2007 | 4 | 1 | 2007 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
133 | Hurford, Terry Anthony, Jr. | The University of Arizona, Arizona, USA | 2005 | male | 3 | 7 | 2016 | 6 | 24 | 2017 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 1 |  1 | 1 | 1 | 1 | 0 | 2 | 1 | 2 | 0 | 2 | 2 | 2 | 4 | 1 | 3 | 4 | 2 |
134 | Kosack, Karl Peter | Washington University, Missouri, USA | 2005 | male | 4 | 1 | 2011 | 34 | 144 | 2017 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 3 | 19 | 5 | 5 | 10 | 14 | 18 | 18 | 7 | 15 | 16 | 11 | 17 | 10 | 4 |
135 | Li, Yuexing | Columbia University, New York, USA | 2005 | female | 25 | 62 | 2017 | 61 | 211 | 2017 | 1 | 4 | 2 | 4 | 5 | 9 | 3 | 8 | 8 | 2 | 4 | 8 | 7 | 3 | 9 | 5 | 2 |  8 | 11 | 8 | 7 | 15 | 12 | 11 | 13 | 16 | 12 | 6 | 24 | 27 | 24 | 34 | 21 | 13 |
136 | Mithaiwala, Manish Jay | The University of Texas at Austin, Texas, USA | 2005 | male | 2 | 3 | 2013 | 2 | 8 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 0 | 0 |
137 | Nguyen, Lan-Anh Ngoc | Washington University, Missouri, USA | 2005 | female | 1 | 1 | 2013 | 2 | 2 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
138 | Piontek, Robert Andrew | University of Maryland, College Park | 2005 | male | 3 | 2 | 2009 | 5 | 4 | 2011 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
139 | Wang, You-Ren | The University of Wisconsin - Madison | 2005 | male | 11 | 32 | 2016 | 43 | 217 | 2017 | 3 | 2 | 0 | 1 | 3 | 2 | 0 | 1 | 1 | 4 | 2 | 5 | 4 | 3 | 5 | 4 | 3 |  6 | 3 | 2 | 6 | 13 | 13 | 14 | 6 | 14 | 20 | 16 | 22 | 15 | 13 | 16 | 23 | 44 |
140 | Byboth, Kristopher Neil | Stephen F. Austin State University | 2005 | male | 2 | 1 | 2006 | 2 | 1 | 2006 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
141 | Chen, Yun | University of Illinois at Urbana-Champaign, Illinois, USA | 2005 | male | 31 | 64 | 2017 | 98 | 420 | 2017 | 3 | 7 | 3 | 8 | 5 | 5 | 6 | 6 | 4 | 3 | 9 | 8 | 3 | 2 | 6 | 9 | 6 |  14 | 13 | 8 | 14 | 21 | 28 | 24 | 25 | 30 | 33 | 29 | 36 | 44 | 27 | 46 | 43 | 63 |
142 | Donato, Davide | George Mason University, Virginia, USA | 2005 | male | 5 | 2 | 2014 | 6 | 40 | 2016 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 1 | 0 | 1 | 2 | 2 | 1 | 2 | 1 | 4 | 4 | 12 | 8 | 2 | 4 | 1 | 1 |
143 | Hosmer, Paul Thomas | Michigan State University, Michigan, USA | 2005 | male | 2 | 1 | 2010 | 5 | 5 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |
144 | Silge, Julia Dorothea | The University of Texas at Austin, Texas, USA | 2005 | female | 3 | 0 | 2005 | 3 | 2 | 2008 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
145 | Bongard, Sebastien | The University of Oklahoma, Oklahoma, USA | 2005 | male | 1 | 3 | 2011 | 1 | 32 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 4 | 1 | 1 | 1 | 1 | 5 | 2 | 7 | 2 | 7 | 0 |
146 | Crockett, Robert Keith | University of California, rkeley, California, USA | 2005 | male | 2 | 0 | 2005 | 2 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
147 | Cirtain, Jonathan Wesley | Montana State University, Montana, USA | 2005 | male | 2 | 4 | 2013 | 8 | 42 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 2 | 3 | 0 | 2 | 1 | 9 | 3 | 2 | 2 | 4 | 2 | 8 | 5 | 0 | 2 |
148 | Dorofeev, Alexei V. | Michigan Technological University, Michigan, USA | 2005 | male | 2 | 0 | 2005 | 7 | 64 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 3 | 1 | 3 | 0 | 3 | 5 | 3 | 6 | 8 | 11 | 3 | 10 | 8 | 7 |
149 | Aubailly, Mathieu | Michigan Technological University | 2005 | male | 1 | 1 | 2007 | 1 | 1 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
150 | Burke, Christopher J. | The Ohio State University, Ohio, USA | 2005 | male | 3 | 8 | 2015 | 4 | 57 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 2 | 2 | 4 | 4 | 5 | 7 | 9 | 6 | 5 | 8 | 4 |
151 | Chang, Clarence Leeder | Stanford University, California, USA | 2005 | male | 1 | 9 | 2016 | 11 | 102 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 0 | 3 | 1 |  0 | 0 | 6 | 2 | 1 | 2 | 3 | 2 | 3 | 2 | 8 | 11 | 14 | 16 | 9 | 16 | 14 |
152 | Dimian, Mihai | University of Maryland, llege Park, Maryland, USA | 2005 | male | 1 | 1 | 2007 | 1 | 1 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
153 | Fanetti, Tina M. | University of Missouri - Saint Louis | 2005 | female | 1 | 0 | 2005 | 1 | 1 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
154 | Kubica, Jeremy | Carnegie Mellon University, Pennsylvania, USA | 2005 | male | 1 | 1 | 2007 | 1 | 3 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
155 | Li, Han | Northwestern University, Illinois, USA | 2005 | male | 10 | 49 | 2017 | 26 | 169 | 2017 | 1 | 3 | 3 | 0 | 0 | 3 | 2 | 2 | 3 | 7 | 4 | 3 | 2 | 6 | 8 | 5 | 4 |  5 | 7 | 6 | 0 | 2 | 6 | 4 | 4 | 18 | 17 | 15 | 13 | 13 | 17 | 28 | 22 | 11 |
156 | Penley, Jonathan Jay | Wichita State University | 2005 | male | 1 | 0 | 2005 | 1 | 1 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
157 | Rogel, Allen B. | Indiana University, Indiana, USA | 2005 | male | 1 | 2 | 2008 | 2 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
158 | Siana, Brian D. | University of California, San Diego, California, USA | 2005 | male | 1 | 6 | 2015 | 6 | 91 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 7 | 4 | 6 | 9 | 7 | 10 | 4 | 7 | 5 | 14 | 13 |
159 | Laroque, Samuel J. | The University of Chicago, Illinois, USA | 2005 | male | 1 | 0 | 2005 | 7 | 4 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 2 | 1 | 1 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
160 | McGehee, Peregrine M. | New Mexico State University, New Mexico, USA | 2005 | male | 3 | 1 | 2006 | 13 | 72 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 2 | 2 | 5 | 3 | 4 | 1 | 1 | 2 | 1 | 16 | 2 | 1 | 11 | 3 | 30 |
161 | Niles, Paul Breckenridge | Arizona State University, Arizona, USA | 2005 | male | 2 | 4 | 2013 | 2 | 36 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 2 | 3 | 0 | 1 | 14 | 7 | 6 | 2 |
162 | Ohnuki, Tohru | University of California, Los Angeles, California, USA | 2005 | male | 3 | 2 | 2009 | 9 | 12 | 2009 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 5 | 1 | 3 | 0 | 3 | 6 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
163 | Patnaude, Daniel James | Dartmouth College, New Hampshire, USA | 2005 | male | 4 | 9 | 2015 | 5 | 30 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 2 | 1 | 2 | 1 | 0 | 1 | 1 | 0 |  0 | 1 | 1 | 1 | 0 | 2 | 0 | 3 | 0 | 2 | 2 | 5 | 4 | 3 | 4 | 4 | 2 |
164 | Racine, Etienne | Cornell University, New York, USA | 2005 | male | 2 | 6 | 2011 | 2 | 10 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |
165 | Sowards-Emmerd, David | Stanford University, California, USA | 2005 | male | 5 | 0 | 2005 | 6 | 0 | 2005 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
166 | Tinker, Jeremy L. | The Ohio State University, Ohio, USA | 2005 | male | 3 | 17 | 2017 | 5 | 117 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 2 | 2 | 3 | 1 | 4 | 0 | 2 | 1 | 0 | 0 | 0 |  0 | 0 | 3 | 0 | 0 | 2 | 3 | 2 | 6 | 4 | 8 | 7 | 14 | 17 | 16 | 7 | 15 |
167 | Anthoine, Sandrine | Princeton University, New Jersey, USA | 2005 | female | 1 | 0 | 2005 | 3 | 1 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
168 | Browning, Matthew Keith Morris | University of Colorado at Boulder, Colorado, USA | 2005 | male | 1 | 1 | 2014 | 1 | 2 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
169 | Conley, Alexander Joseph | University of California, Berkeley, California, USA | 2005 | male | 1 | 6 | 2011 | 11 | 118 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 2 | 5 | 7 | 5 | 6 | 5 | 27 | 13 | 12 | 23 | 15 | 2 | 3 |
170 | Eisner, Joshua A. | California Institute of Technology | 2005 | male | 10 | 18 | 2016 | 14 | 36 | 2016 | 0 | 2 | 2 | 2 | 1 | 3 | 2 | 4 | 1 | 2 | 2 | 1 | 1 | 1 | 1 | 2 | 1 |  0 | 2 | 2 | 2 | 1 | 7 | 2 | 6 | 1 | 4 | 3 | 1 | 5 | 2 | 3 | 8 | 1 |
171 | Forbes, Michael Mcneil | Massachusetts Institute of Technology, Massachusetts, USA | 2005 | male | 3 | 2 | 2010 | 3 | 5 | 2016 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 2 |
172 | Gonzalez Sanchez, Maria Magdalena | The University of Wisconsin - Madison, Wisconsin, USA | 2005 | female | 1 | 0 | 2005 | 1 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
173 | Jacobs, Vincent | Rutgers The State University of New Jersey - New Brunswick, New Jersey, USA | 2005 | male | 2 | 0 | 2005 | 3 | 0 | 2005 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
174 | McGovern, Mark Roland | University of California, Los Angeles, California, USA | 2005 | male | 2 | 0 | 2005 | 5 | 5 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
175 | Dombeck, John Paul | University of Minnesota, Minnesota, USA | 2005 | male | 3 | 1 | 2013 | 11 | 9 | 2013 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 3 | 1 | 1 | 1 | 5 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 5 | 0 | 0 | 0 |
