year n min max mean median std n_outliers f_n f_min f_max f_mean f_median f_std m_n m_min m_max m_mean m_median m_std
1970	30	3	101	37.03	35.5	23.00	0	1	23	23	23.00	23.0	 0.00	29	3	101	37.52	37.0	23.24
1971	28	5	117	44.14	33.0	32.20	0	5	6	115	39.80	23.0	38.58	22	5	117	46.55	39.0	30.45
1972	43	3	383	45.91	30.0	61.48	1	3	20	38	29.67	31.0	 7.41	40	3	383	47.12	29.5	63.55
1973	39	3	115	38.72	34.0	26.72	0	1	5	5	 5.00	5.0	 0.00	37	3	115	40.54	39.0	26.23
1974	41	3	155	33.76	25.0	29.55	1	4	31	53	42.75	43.5	 9.86	28	3	155	34.07	23.0	33.81
1975	42	2	170	47.14	40.5	31.19	1	5	15	123	55.80	54.0	38.96	29	10	170	52.72	44.0	29.98
1976	52	2	198	43.06	35.5	36.57	1	2	2	38	20.00	20.0	18.00	42	2	198	44.55	37.5	35.02
1977	60	3	84	35.02	37.0	20.71	0	2	48	52	50.00	50.0	 2.00	45	5	84	37.22	37.0	20.78
1978	54	2	94	30.96	25.0	20.93	1	0	nan	nan	  nan	nan	nan	42	2	94	31.48	23.5	21.36
1979	47	5	148	36.34	32.0	27.03	1	3	16	64	47.00	61.0	21.95	37	5	148	34.38	30.0	27.79
1980	42	4	77	29.45	28.5	14.94	1	4	23	33	28.00	28.0	 4.12	32	4	77	30.59	28.5	16.03
1981	53	3	78	29.43	25.0	20.32	0	4	12	38	26.75	28.5	10.76	42	3	78	28.67	23.0	21.25
1982	44	3	157	35.05	28.0	29.04	1	8	13	71	32.38	30.0	18.39	33	3	91	32.33	26.0	23.46
1983	53	2	155	33.87	30.0	27.26	1	3	15	45	27.67	23.0	12.68	39	2	101	32.05	30.0	23.88
1984	43	3	113	35.88	27.0	26.43	0	4	6	113	37.75	16.0	43.78	32	3	94	37.62	32.0	25.76
1985	63	2	116	27.70	22.0	23.82	2	3	3	32	14.67	9.0	12.50	51	2	116	28.96	24.0	25.36
1986	48	5	89	31.96	27.5	23.39	0	6	10	83	33.17	26.5	24.57	41	5	89	30.93	27.0	22.82
1987	61	3	151	31.70	26.0	23.92	1	16	15	151	34.19	29.0	31.49	44	3	93	30.41	25.5	20.54
1988	61	4	126	31.85	25.0	24.17	2	8	10	60	27.12	22.5	16.62	52	4	126	32.88	25.5	25.17
1989	83	2	124	24.82	20.0	21.78	3	15	2	99	22.20	18.0	22.42	66	3	124	24.00	20.5	19.93
1990	87	2	139	27.36	20.0	25.74	2	18	3	138	32.11	21.0	32.01	66	2	90	23.56	19.5	18.91
1991	102	2	257	31.24	22.0	37.60	3	14	7	59	20.50	20.5	12.63	82	2	257	32.29	22.0	40.33
1992	103	3	111	23.36	17.0	20.78	3	16	4	40	16.19	11.5	11.19	86	3	111	24.47	19.0	21.87
1993	103	2	191	26.19	20.0	23.90	2	14	2	191	36.71	23.0	46.02	81	2	99	25.09	20.0	17.79
1994	107	2	190	25.68	18.0	27.38	2	18	6	49	16.72	14.5	10.06	81	2	190	26.14	18.0	28.91
1995	105	2	221	25.89	16.0	30.59	3	22	6	144	27.09	20.0	30.00	78	2	221	24.65	15.0	30.61
1996	42	4	134	23.36	17.0	22.51	1	5	15	134	41.60	20.0	46.25	33	4	54	20.30	16.0	14.34
1997	90	2	95	18.14	15.0	15.45	2	13	6	33	18.00	18.0	 8.96	73	2	91	17.14	14.0	13.71
1998	105	2	115	21.59	15.0	18.27	1	17	4	115	22.53	16.0	25.34	87	2	73	21.02	15.0	16.25
1999	96	2	157	20.76	15.5	21.64	3	17	4	157	26.88	18.0	35.04	76	2	103	18.95	15.0	17.19
2000	116	3	87	15.97	12.5	12.04	2	17	4	41	13.94	12.0	 8.92	92	3	87	15.72	12.0	11.72
2001	105	2	117	19.65	14.0	17.93	3	25	2	34	13.60	11.0	 8.66	73	3	117	19.85	15.0	17.11
2002	110	2	97	16.35	11.5	14.71	1	21	2	57	13.95	11.0	12.49	85	2	97	16.92	13.0	15.39
